name,value,unit,name_all,gp
p,1,g wet W cm-3,Biovolume density of cultured animals,all
u_cj,48.8,J mgC-1,Ratio of carbon to energy content,all
s_r,0.001,d - 1,Natural mortality of shellfish/seaweed,all
s_h,0,d - 1,Harvest mortality of shellfish/seaweed,all
k_r_s,0.8,na,Fraction of reproduction energy fixed in eggs,shellfish
u_v_s,2700,J g - 1 wet W,Structure energy content,shellfish
q_s,0.183,mgN mgC-1,N-quota of shellfish,shellfish
e_g_s,2500,J cm-3,Volume-specific costs for shellfish growth,shellfish
k_s,0.7,na,Catabolic flux to growth and maintenance in shellfish,shellfish
p_a_1_s,440,J cm-3 d - 1,maximum surface area-specific assimilation rate,shellfish
e_m_s,2600,J cm-3,maximum storage density,shellfish
p_m_1_s,12.2,J cm-3 d - 1,Volume-specific maintenance costs,shellfish
k_o_s,1,na,Reference reaction rate for shellfish at 288 K,shellfish
t_a_s,5530,K,Arrhenius temperature of shellfish,shellfish
t_al_s,15000,K,Arrhenius temperature at lower boundary for shellfish,shellfish
t_l_s,285,K,Lower boundary of tolerance range for shellfish,shellfish
t_ah_s,42000,K,Arrhenius temperature at upper boundary for shellfish,shellfish
t_h_s,297,K,Upper boundary of tolerance range for shellfish,shellfish
f_h,315,mg C m3 -1,Half-saturation uptake of phytoplankton by shellfish,shellfish
f_s_h,315,mgC m -3,Half-saturation uptake of food by shellfish,shellfish
v_p_s,0.36,cm-3,Structural volume at sexual maturity,shellfish
f_s,0.5,na,Functional response of cultured animals,shellfish
u_m_s,0.045,m3 cm-2 d - 1,shellfish maximum surface area-specific clearance,shellfish
u_vs,2700,J g-1 wet W,Structure energy content of shellfish,shellfish
t_o_s,288,K,Reference temperature,shellfish
p_a_1_f,2250,J cm-3 d - 1,fish maximum surface area-specific assimilation,fish
e_g_f,6200,J cm-3,Volume-specific costs for fish growth,fish
k_f,0.85,na,Catabolic flux to growth and maintenance in fish,fish
e_m_f,11600,J cm-3,Maximum reserve density of fish,fish
p_m_1_f,75.3,J cm-3 d - 1,Volume-specific maintenance rate of fish,fish
v_p_f,9,cm-3,fish structural volume at puberty,fish
t_af,7100,K,Arrhenius temperature of fish,fish
t_alf,3200,K,Arrhenius temperature at lower boundary for fish,fish
t_lf,283,K,Lower boundary of tolerance range for fish,fish
