date,tp,1,2,3,4,5
2016/1/1,nh,989100.9,13144153.31,0,0,0
2016/2/1,nh,3858125.3,8820704.921,0,0,0
2016/3/1,nh,848414.9,8081571.958,0,0,0
2016/4/1,nh,2086709.2,22440496.39,0,0,0
2016/5/1,nh,2596406.3,22357389.92,0,0,0
2016/6/1,nh,3684976.2,29935770.65,0,0,0
2016/7/1,nh,1729581.1,10648956.95,0,0,0
2016/8/1,nh,888287.4,7512787.83,0,0,0
2016/9/1,nh,1307615.2,39781264.19,0,0,0
2016/10/1,nh,1075409.3,3810896.83,0,0,0
2016/11/1,nh,527962.3,6040719.91,0,0,0
2016/12/1,nh,724262.1,6906316.018,0,0,0
2017/1/1,nh,736521.8,2846802.161,0,0,0
2017/2/1,nh,361954.7,1491770.89,0,0,0
2017/3/1,nh,401353.8,5524427.916,0,0,0
2017/4/1,nh,637591.8,7333955.074,0,0,0
2017/5/1,nh,364877.8,2715416.852,0,0,0
2017/6/1,nh,1527446,16377739.98,0,0,0
2017/7/1,nh,1593062.8,14209010.85,0,0,0
2017/8/1,nh,1494480.9,16108285.26,0,0,0
2017/9/1,nh,261933.4,668793.9901,0,0,0
2017/10/1,nh,303753.1,1162648.533,0,0,0
2017/11/1,nh,185671.6,715756.5959,0,0,0
2017/12/1,nh,2549871.9,742769.762,0,0,0
2018/1/1,nh,694804.3,1839956.564,0,0,0
2018/2/1,nh,836425.5,1139480.08,0,0,0
2018/3/1,nh,476107.4,2615356.79,0,0,0
2018/4/1,nh,473706.4,1894672.103,0,0,0
2018/5/1,nh,1892221.6,1069877.613,0,0,0
2018/6/1,nh,1363700.3,8699945.646,0,0,0
2018/7/1,nh,354225.5,1891562.897,0,0,0
2018/8/1,nh,440665.1,2258028.108,0,0,0
2018/9/1,nh,529092.9,2778852.418,0,0,0
2018/10/1,nh,863477.9,1229917.489,0,0,0
2018/11/1,nh,457827.3,1284101.872,0,0,0
2018/12/1,nh,458386.2,3325295.285,0,0,0
2019/1/1,nh,434036.1,1531121.772,0,0,0
2019/2/1,nh,217861.8,2977647.244,0,0,0
2019/3/1,nh,2221046.8,3626499.568,0,0,0
2019/4/1,nh,229929.9,3039248.379,0,0,0
2019/5/1,nh,647805.3,2201803.309,0,0,0
2019/6/1,nh,603407.2,2147295.05,0,0,0
2019/7/1,nh,1866624.4,12888531.27,0,0,0
2019/8/1,nh,601533.5,971885.8199,0,0,0
2019/9/1,nh,336891.8,1267098.405,0,0,0
2019/10/1,nh,300537,576504.9977,0,0,0
2019/11/1,nh,100038.6,283326.3514,0,0,0
2019/12/1,nh,79941.9,448191.9732,0,0,0
