time,1,2,3,4,5
0,1481335657,715148772.6,1447994746,4052718152,2182479206
240,1602776054,751059476.2,1506374346,4288442552,2310999206
480,2185963951,1139220680,2082007046,4620954852,2415223206
720,1617566848,798475883.4,1592532446,4161487452,2220499206
960,1541154246,718257587,1449027346,4213278552,2277489206
1200,2047576943,1057856291,1945193346,4532929852,2384864606
1440,1609805040,793805994.2,1571280646,4165836252,2223929206
1680,1523610437,708193697.7,1430652346,4194596552,2269369206
1920,2084073695,1079885301,1971897246,4571070892,2406175206
2160,1734965232,868478104.9,1701819146,4260765752,2259447206
2400,1464847629,674950808.5,1373781346,4121028552,2234369206
2640,1932349026,991403512.1,1828122246,4476451652,2371320206
2880,1752062423,879536215.7,1706168746,4284535152,2272270206
3120,1481884821,688882919.3,1391735346,4133220552,2237819206
3360,1957368218,1004967623,1851807546,4503378352,2386104206
3600,1861000615,943614326.5,1818154946,4362809952,2301842206
3840,1433768012,665654030.1,1361988346,4072848552,2206489206
4080,1796674410,902793733.7,1700915446,4405255452,2347737206
4320,1907339807,970704437.3,1853608646,4408735252,2321889206
4560,1485996204,703519140.9,1420197346,4117831552,2223929206
4800,1820899601,918503844.5,1726778246,4425092652,2358021206
5040,1985534998,1015779548,1935570146,4465767752,2343795206
5280,1458915396,695175251.7,1407429346,4064449552,2193779206
5520,1653478793,798661955.2,1558517346,4306636552,2312449206
5760,2032928490,1044465659,1957527146,4509841152,2369009006
6000,1559357587,759490362.4,1513947346,4147049552,2225179206
6240,1680660984,819970066,1590592346,4326336552,2321699206
6480,2078703982,1072077770,2004871546,4541663152,2382261806
6720,1538812779,751749473.2,1500935346,4104602552,2199839206
6960,1504398176,691485176.8,1408249346,4182172552,2264859206
7200,2072441053,1074266880,1958503046,4559625572,2401020006
7440,1688952971,841291584,1654456246,4224814652,2246979206
7680,1543459368,723799287.6,1452437346,4205984552,2275169206
7920,2101437065,1091368991,1989920146,4576884452,2407785206
8160,1661562162,828166694.8,1630975446,4184046452,2224139206
8400,1377543559,611755398.4,1281671546,4045035352,2207789206
8640,2022072957,1041548102,1897387046,4567440852,2418171006
8880,1857300354,942881805.6,1825045346,4335163552,2284846206
9120,1445404751,662953509.2,1365776346,4097806552,2224989206
9360,2042434568,1055448213,1920949946,4575577032,2420079806
9600,1820699546,923372916.3,1790645846,4294585052,2263397206
9840,1305472943,577741619.9,1227738646,3936893252,2154199206
10080,1910599340,955497323.5,1793581346,4536589552,2415962206
10320,2053943237,1057954027,2015960546,4474667852,2335554606
10560,1408698134,653374730.7,1362698346,4027960552,2186669206
10800,1926465532,971838434.3,1814987046,4537203852,2414421206
11040,2006381479,1032178138,1969260146,4430923202,2314843206
11280,1292020326,590600841.5,1245536146,3875769752,2116689206
11520,1763925723,843525545.1,1656658346,4455852552,2393266206
11760,2237747721,1167618649,2184970546,4619298352,2395464206
12000,1438781518,687313952.3,1419794346,4005712552,2163499206
12240,1776887915,860100655.9,1676601346,4451193552,2388862206
12480,2198143812,1145043859,2148316546,4586415352,2377687206
12720,1347096709,639135063.1,1326075846,3882660052,2102469206
12960,1607455107,730622766.7,1503501346,4342063552,2348919206
13200,2437935804,1295905170,2314772846,4783924052,2463429206
13440,1559411901,769243173.9,1569361646,4056426252,2165929206
13680,1631504298,755570877.4,1539093346,4338679552,2343549206
13920,2349093496,1240188781,2246328646,4716178252,2441333206
14160,1461991093,716032284.6,1460726346,3953568552,2118219206
14400,1443960490,627543988.2,1342760346,4176368552,2279609206
14640,2445071287,1306908292,2272338146,4822940752,2499889206
14880,1704932284,860087395.4,1718923546,4146280352,2191719206
15120,1479439682,661264099,1392539346,4181995552,2279829206
15360,2377205339,1263870543,2224470346,4772116552,2480883206
15600,1630471476,819109506.2,1636670446,4074307452,2158379206
15840,1316695873,559361209.8,1221229046,4006587852,2204139206
16080,2353432371,1237698813,2173010746,4825770152,2519413206
16320,1910283908,983344617,1917278046,4277064612,2231315206
16560,1373199065,605282320.6,1304323346,4037544552,2211529206
16800,2306872862,1212497624,2145024246,4781310652,2496092206
17040,1948259459,1013440728,1954552546,4271382752,2211480206
17280,1253517257,542061431.4,1195296346,3865809552,2136159206
17520,2137035654,1088739135,1989024846,4723739452,2496965806
17760,2059836051,1065168839,2045691946,4423434952,2294229206
18000,1327753448,595055542.1,1283295546,3943675352,2157879206
18240,2071314846,1054278246,1938475946,4663056952,2471676876
18480,2013658243,1038994949,1993490746,4395737152,2286186206
18720,1253559640,559683652.9,1206859346,3835422552,2105929206
18960,1929617137,945357356.5,1808447346,4606424452,2455227206
19200,2286814534,1192358960,2257494846,4624702052,2371788206
19440,1363740832,638236763.7,1354477546,3931165352,2136239206
19680,1869752290,912442467.3,1762320346,4546858491,2427776206
19920,2324189626,1213406171,2289176646,4674752252,2387828206
20160,1354418023,641752874.5,1351477946,3886636952,2108549206
20400,1723868421,810442578.1,1623158346,4435711552,2390069206
20640,2352708718,1236493382,2285490446,4709008452,2426202206
20880,1449712215,700882985.3,1448713346,3978672552,2141499206
21120,1647927612,767362688.9,1550524346,4352261552,2348779206
21360,2268980209,1191168192,2183658346,4656779552,2419631206
21600,1460593407,709115096,1448272346,3990535552,2145029206
21840,1552121804,704505799.6,1453306346,4265347552,2311629206
22080,2313470301,1223657403,2186729346,4706612552,2451944206
22320,1582984598,783515206.8,1576626346,4088535552,2180779206
22560,1463891995,655002910.4,1369138346,4159793552,2264049206
22800,2201581393,1156028614,2067695346,4653792052,2442269706
23040,1650548790,823237317.6,1634900346,4151650552,2207309206
23280,1422603187,634970021.2,1328783346,4103255552,2238679206
23520,2165236584,1130900725,2028604246,4652614152,2449479706
23760,1764215082,890248428.4,1747922646,4240856152,2240929206
24000,1352576379,598374132,1265831236,4007275662,2189879206
24240,2000175776,1025002836,1878153546,4567426352,2423706206
24480,1882897173,959346539.2,1853476246,4345057652,2286709206
24720,1381064570,625556242.8,1310081346,4021870552,2190869206
24960,1957552968,996899946.4,1843112346,4546804552,2416742206
25200,1968643365,1009186650,1936218746,4413176152,2313424206
25440,1335107762,611602353.6,1283860186,3942137712,2148679206
25680,1761295159,856230057.1,1658107346,4425510552,2374269206
25920,2117560557,1095992761,2069592646,4546304252,2371230206
26160,1444227954,687564464.3,1411155346,4033455552,2180849206
26400,1738968351,845308167.9,1641726346,4401675552,2363639206
26640,2154918748,1118695872,2100994346,4577734552,2386713806
26880,1428297145,686794575.1,1402909346,3982597552,2147459206
27120,1530105543,695998278.7,1430350346,4231919552,2294619206
27360,2223005940,1168469982,2099861946,4650823052,2434037106
27600,1614888337,799941685.9,1598473346,4138890552,2208119206
27840,1534890734,707248389.5,1442382346,4220837552,2289449206
28080,2213963132,1162319093,2092789746,4648664352,2435851006
28320,1601839529,796055796.7,1586320346,4106833552,2187219206
28560,1345423926,584701500.3,1248396746,4025622152,2205889206
28800,2129948323,1104905204,1989023046,4654647852,2458217206
29040,1845589720,937894907.5,1828848846,4301351052,2264399206
29280,1402339118,630784611.1,1323159646,4060166252,2213899206
29520,2111608515,1095177315,1979736746,4639008152,2451585206
29760,1824658912,928060018.2,1806730746,4273100152,2248209206
30000,1260471309,549656721.8,1184878346,3879438552,2133319206
30240,1964512707,981137425.4,1839868346,4600552552,2447472206
30480,2132831104,1104424129,2104396846,4515576052,2341255206
30720,1371072501,632353832.6,1338921946,3975741952,2164669206
30960,1937374898,970421536.2,1824640346,4566951552,2434335206
31200,2065705295,1067921240,2034098146,4460565752,2321304206
31440,1269179693,581416943.4,1232584346,3831054552,2095439206
31680,1765896890,834024647,1658060346,4485478752,2410399206
31920,2396924887,1257954951,2341343246,4747021652,2429613206
32160,1451375884,699775054.2,1458274346,3985645552,2148399206
32400,1766241982,844693757.8,1670497346,4462372852,2398019206
32640,2316338679,1214114461,2263486546,4675538352,2405402206
32880,1364548076,654349165,1360954346,3876004552,2094709206
33120,1577494473,707474868.6,1475228346,4324193552,2344599206
33360,2484736570,1328629872,2349191946,4817007952,2475671206
33600,1571903268,778644275.7,1590234346,4054489552,2161669206
33840,1594221665,728015979.3,1504143346,4315645552,2337759206
34080,2444791162,1301932583,2319014546,4793055352,2463940206
34320,1524851459,758106386.5,1541663346,3983795552,2125619206
34560,1423181857,616910090.1,1327512346,4149587552,2270899206
34800,2427465754,1296261294,2256907646,4816786252,2499422206
35040,1742775651,887660497.3,1757196746,4158889152,2190659206
35280,1452572048,645839200.9,1369012346,4152383552,2266989206
35520,2306894445,1221866904,2161308946,4728630952,2473287206
35760,1623061253,812059608.1,1620730346,4089476142,2170189206
36000,1324344240,566455311.7,1228823946,4013708952,2207939206
36240,2299674637,1206312015,2130353946,4782610152,2502184006
36480,1878837034,964621718.9,1882185546,4269388352,2232769206
36720,1380628431,610883422.5,1306624846,4045391052,2213469206
36960,2228424829,1164793126,2079551446,4725092452,2478176706
37200,1836747226,941089829.7,1831419646,4237771252,2220299206
37440,1295123623,561179533.3,1217159546,3937370352,2165009206
37680,2143331020,1100077237,1997821946,4711438952,2482713206
37920,2086602418,1082449940,2075569546,4451353352,2299595206
38160,1357281815,610932644,1313783246,3982380652,2175559206
38400,2031343212,1037585348,1908317546,4611600352,2446781206
38640,1904455609,974502051.2,1881391946,4334608952,2272939206
38880,1294661006,573560754.8,1229402046,3914999852,2146209206
39120,1956937404,981585458.4,1836390346,4581865552,2438067206
39360,2048455801,1056160162,2019001946,4457114952,2325242206
39600,1358498198,622902865.6,1315742546,3970295352,2162949206
39840,1881069595,938264569.2,1772393346,4512526552,2407429206
40080,2008131993,1033466273,1970269246,4437001652,2319786206
40320,1333922390,610868976.4,1286028846,3938354052,2148079206
40560,1818916787,890872680,1713041346,4481208552,2398799206
40800,2128642184,1102565384,2087324446,4539925452,2362630206
41040,1405177581,662089087.2,1374395346,3996017552,2166359206
41280,1743552979,847099790.8,1645028346,4406563552,2364989206
41520,2073679376,1071089494,2024267646,4513819252,2357455206
41760,1406014773,663931197.9,1368175346,3997183552,2166669206
42000,1711875170,824971901.5,1613837346,4382345552,2356109206
42240,2146249568,1113631605,2087187146,4575395752,2388180206
42480,1477560965,712177308.7,1449354346,4051567552,2183059206
42720,1628212562,773124012.3,1532982346,4300856352,2317209206
42960,2077148759,1073839716,1999505146,4535726752,2378595206
43200,1503438356,728079419.5,1467192346,4081355352,2196539206
43440,1624614754,773788123.1,1530637346,4293820352,2313609206
43680,2120953951,1100649827,2032945346,4572648552,2398369206
43920,1571547648,771430530.3,1541017346,4131285252,2212539206
44160,1528192445,711668233.9,1435009346,4198355852,2272259206
44400,2016021143,1040232937,1916289246,4513557652,2381417206
44640,1625589615,802832748.3,1585656346,4186654552,2237399206
44880,1553506263,733589666.2,1462566346,4212500452,2276709206
45120,2042146710,1054296584,1940834146,4534949752,2392252206
45360,1684127258,838643502.2,1647031346,4227209552,2250779206
45600,1453180805,668136420.2,1359318346,4107375552,2230519206
45840,1902842353,973972338.1,1802558346,4458147552,2367309206
46080,1771734901,891171256.1,1725395346,4304868552,2285329206
46320,1510044248,710801174.1,1422038346,4153235752,2246559206
46560,1923408996,985309092.1,1825431346,4472669552,2374359206
46800,1814970543,917013010,1770043046,4334211852,2295039206
47040,1419518091,657067928,1343279646,4057112252,2201279206
47280,1762147639,880052846,1668072346,4380624552,2341649206
47520,1939087186,989312763.9,1887386146,4438090752,2337649206
47760,1516845024,726560681.9,1457112346,4138228262,2232079206
48000,1781508281,894805599.9,1692143346,4391848552,2346179206
48240,1960808829,1001873518,1910395846,4453067052,2342849206
48480,1452183577,692697435.8,1399354346,4052449352,2188629206
48720,1604612924,763324353.8,1508571346,4267765552,2299319206
48960,2062926472,1065399272,1972349546,4535538352,2386023206
49200,1608731020,791077189.8,1569743346,4177991552,2236049206
49440,1624022567,781551107.7,1534805346,4277473552,2303929206
49680,2070918115,1069982026,1983973346,4540108552,2387112206
49920,1556950362,764338943.7,1521241346,4110810852,2201069206
50160,1439617810,647863861.7,1342179146,4117650152,2241629206
50400,2070774758,1073415780,1948525346,4579084552,2417918206
50640,1765148305,887591697.6,1736660846,4272519052,2264009206
50880,1480553453,682830615.6,1390978346,4138876952,2247849206
51120,2072520400,1075147534,1954626246,4577054652,2416172206
51360,1719457948,863582451.5,1691689346,4219668552,2236529206
51600,1320914496,578807369.5,1228377346,3970538552,2174499206
51840,1981007043,1007019287,1857942346,4570938552,2428969206
52080,1969372591,1008990205,1938870346,4407973552,2310449206
52320,1400119238,640367123.4,1340676146,4033653652,2194629206
52560,1978192686,1008234041,1861772346,4563506552,2424579206
52800,1928076234,986845959.4,1897313946,4367698952,2290269206
53040,1274876781,571065877.4,1216017346,3872464552,2121989206
53280,1832633329,890849795.3,1720440346,4507900552,2415689206
53520,2188437876,1137153713,2147611546,4573152352,2372104206
53760,1395015224,656232631.3,1371166346,3975688752,2157239206
54000,1834665972,898018549.2,1729993346,4498344552,2408899206
54240,2155597519,1119300467,2113679446,4544944452,2358796206
54480,1308538067,612954385.2,1282922946,3849105952,2094679206
54720,1670650614,769622303.2,1565116346,4402661552,2379619206
54960,2406558162,1271772221,2315977846,4750720452,2446138806
55200,1476707110,718493139.1,1481781346,3990348152,2143079206
55440,1672332257,777236057.1,1576203346,4387277552,2370159206
55680,2354006805,1241372975,2271025146,4708449752,2432742206
55920,1415311693,687296893,1414305446,3911164112,2103059206
56160,1495714700,653982811,1392624346,4244075752,2312359206
