t,t_k
2020-1-1 0:00,15
2020-1-1 0:10,14.9996
2020-1-1 0:20,14.9993
2020-1-1 0:30,14.9991
2020-1-1 0:40,14.999
2020-1-1 0:50,14.9989
2020-1-1 1:00,14.9989
2020-1-1 1:10,14.999
2020-1-1 1:20,14.9991
2020-1-1 1:30,14.9994
2020-1-1 1:40,14.9998
2020-1-1 1:50,15.0004
2020-1-1 2:00,15.0011
2020-1-1 2:10,15.0019
2020-1-1 2:20,15.0027
2020-1-1 2:30,15.0035
2020-1-1 2:40,15.0044
2020-1-1 2:50,15.0054
2020-1-1 3:00,15.0063
2020-1-1 3:10,15.0072
2020-1-1 3:20,15.0081
2020-1-1 3:30,15.009
2020-1-1 3:40,15.01
2020-1-1 3:50,15.011
2020-1-1 4:00,15.0122
2020-1-1 4:10,15.0134
2020-1-1 4:20,15.0146
2020-1-1 4:30,15.0158
2020-1-1 4:40,15.0168
2020-1-1 4:50,15.0178
2020-1-1 5:00,15.0187
2020-1-1 5:10,15.0196
2020-1-1 5:20,15.0205
2020-1-1 5:30,15.0213
2020-1-1 5:40,15.0222
2020-1-1 5:50,15.0232
2020-1-1 6:00,15.0243
2020-1-1 6:10,15.0254
2020-1-1 6:20,15.0264
2020-1-1 6:30,15.0274
2020-1-1 6:40,15.0284
2020-1-1 6:50,15.0293
2020-1-1 7:00,15.0301
2020-1-1 7:10,15.0309
2020-1-1 7:20,15.0316
2020-1-1 7:30,15.0322
2020-1-1 7:40,15.0326
2020-1-1 7:50,15.0329
2020-1-1 8:00,15.0331
2020-1-1 8:10,15.0332
2020-1-1 8:20,15.0332
2020-1-1 8:30,15.0332
2020-1-1 8:40,15.033
2020-1-1 8:50,15.0322
2020-1-1 9:00,15.0301
2020-1-1 9:10,15.0256
2020-1-1 9:20,15.0179
2020-1-1 9:30,15.0077
2020-1-1 9:40,14.9973
2020-1-1 9:50,14.9894
2020-1-1 10:00,14.9858
2020-1-1 10:10,14.9871
2020-1-1 10:20,14.9921
2020-1-1 10:30,14.9989
2020-1-1 10:40,15.0058
2020-1-1 10:50,15.0118
2020-1-1 11:00,15.0166
2020-1-1 11:10,15.0203
2020-1-1 11:20,15.0232
2020-1-1 11:30,15.0255
2020-1-1 11:40,15.0272
2020-1-1 11:50,15.0285
2020-1-1 12:00,15.0295
2020-1-1 12:10,15.0302
2020-1-1 12:20,15.0307
2020-1-1 12:30,15.0309
2020-1-1 12:40,15.031
2020-1-1 12:50,15.0309
2020-1-1 13:00,15.0306
2020-1-1 13:10,15.03
2020-1-1 13:20,15.0293
2020-1-1 13:30,15.0283
2020-1-1 13:40,15.027
2020-1-1 13:50,15.0251
2020-1-1 14:00,15.0226
2020-1-1 14:10,15.0192
2020-1-1 14:20,15.0146
2020-1-1 14:30,15.0087
2020-1-1 14:40,15.002
2020-1-1 14:50,14.9959
2020-1-1 15:00,14.9923
2020-1-1 15:10,14.9919
2020-1-1 15:20,14.9938
2020-1-1 15:30,14.9957
2020-1-1 15:40,14.9967
2020-1-1 15:50,14.9968
2020-1-1 16:00,14.9963
2020-1-1 16:10,14.9948
2020-1-1 16:20,14.9917
2020-1-1 16:30,14.9864
2020-1-1 16:40,14.9785
2020-1-1 16:50,14.9687
2020-1-1 17:00,14.9583
2020-1-1 17:10,14.9487
2020-1-1 17:20,14.9408
2020-1-1 17:30,14.9347
2020-1-1 17:40,14.9295
2020-1-1 17:50,14.924
2020-1-1 18:00,14.9177
2020-1-1 18:10,14.9106
2020-1-1 18:20,14.9025
2020-1-1 18:30,14.8935
2020-1-1 18:40,14.8835
2020-1-1 18:50,14.8725
2020-1-1 19:00,14.8606
2020-1-1 19:10,14.8481
2020-1-1 19:20,14.8356
2020-1-1 19:30,14.8238
2020-1-1 19:40,14.8134
2020-1-1 19:50,14.8051
2020-1-1 20:00,14.7991
2020-1-1 20:10,14.7959
2020-1-1 20:20,14.7956
2020-1-1 20:30,14.798
2020-1-1 20:40,14.8025
2020-1-1 20:50,14.8082
2020-1-1 21:00,14.814
2020-1-1 21:10,14.8194
2020-1-1 21:20,14.8249
2020-1-1 21:30,14.8316
2020-1-1 21:40,14.841
2020-1-1 21:50,14.8536
2020-1-1 22:00,14.868
2020-1-1 22:10,14.8824
2020-1-1 22:20,14.8954
2020-1-1 22:30,14.9068
2020-1-1 22:40,14.9167
2020-1-1 22:50,14.9254
2020-1-1 23:00,14.9329
2020-1-1 23:10,14.9389
2020-1-1 23:20,14.9437
2020-1-1 23:30,14.9472
2020-1-1 23:40,14.9498
2020-1-1 23:50,14.9517
2020-1-2 0:00,14.953
2020-1-2 0:10,14.954
2020-1-2 0:20,14.9547
2020-1-2 0:30,14.9552
2020-1-2 0:40,14.9556
2020-1-2 0:50,14.9558
2020-1-2 1:00,14.956
2020-1-2 1:10,14.956
2020-1-2 1:20,14.9558
2020-1-2 1:30,14.9556
2020-1-2 1:40,14.9553
2020-1-2 1:50,14.9547
2020-1-2 2:00,14.9539
2020-1-2 2:10,14.9528
2020-1-2 2:20,14.9513
2020-1-2 2:30,14.9495
2020-1-2 2:40,14.9476
2020-1-2 2:50,14.946
2020-1-2 3:00,14.945
2020-1-2 3:10,14.9447
2020-1-2 3:20,14.9446
2020-1-2 3:30,14.9445
2020-1-2 3:40,14.9437
2020-1-2 3:50,14.9416
2020-1-2 4:00,14.9371
2020-1-2 4:10,14.9265
2020-1-2 4:20,14.9066
2020-1-2 4:30,14.8786
2020-1-2 4:40,14.8485
2020-1-2 4:50,14.8221
2020-1-2 5:00,14.8015
2020-1-2 5:10,14.7863
2020-1-2 5:20,14.7754
2020-1-2 5:30,14.7666
2020-1-2 5:40,14.7589
2020-1-2 5:50,14.7514
2020-1-2 6:00,14.7435
2020-1-2 6:10,14.7346
2020-1-2 6:20,14.7244
2020-1-2 6:30,14.7123
2020-1-2 6:40,14.698
2020-1-2 6:50,14.6816
2020-1-2 7:00,14.6635
2020-1-2 7:10,14.6452
2020-1-2 7:20,14.6284
2020-1-2 7:30,14.6147
2020-1-2 7:40,14.6047
2020-1-2 7:50,14.5981
2020-1-2 8:00,14.5944
2020-1-2 8:10,14.5926
2020-1-2 8:20,14.5916
2020-1-2 8:30,14.5898
2020-1-2 8:40,14.5847
2020-1-2 8:50,14.5728
2020-1-2 9:00,14.5492
2020-1-2 9:10,14.5095
2020-1-2 9:20,14.4522
2020-1-2 9:30,14.3819
2020-1-2 9:40,14.3092
2020-1-2 9:50,14.2453
2020-1-2 10:00,14.1984
2020-1-2 10:10,14.1727
2020-1-2 10:20,14.1692
2020-1-2 10:30,14.1865
2020-1-2 10:40,14.2229
2020-1-2 10:50,14.2762
2020-1-2 11:00,14.3434
2020-1-2 11:10,14.4198
2020-1-2 11:20,14.4988
2020-1-2 11:30,14.5742
2020-1-2 11:40,14.6418
2020-1-2 11:50,14.7001
2020-1-2 12:00,14.7493
2020-1-2 12:10,14.7903
2020-1-2 12:20,14.824
2020-1-2 12:30,14.8514
2020-1-2 12:40,14.8734
2020-1-2 12:50,14.8909
2020-1-2 13:00,14.9045
2020-1-2 13:10,14.9147
2020-1-2 13:20,14.922
2020-1-2 13:30,14.9268
2020-1-2 13:40,14.9292
2020-1-2 13:50,14.9294
2020-1-2 14:00,14.9274
2020-1-2 14:10,14.923
2020-1-2 14:20,14.916
2020-1-2 14:30,14.9059
2020-1-2 14:40,14.8922
2020-1-2 14:50,14.8748
2020-1-2 15:00,14.8539
2020-1-2 15:10,14.8308
2020-1-2 15:20,14.8075
2020-1-2 15:30,14.7859
2020-1-2 15:40,14.767
2020-1-2 15:50,14.7504
2020-1-2 16:00,14.7346
2020-1-2 16:10,14.7174
2020-1-2 16:20,14.6966
2020-1-2 16:30,14.6713
2020-1-2 16:40,14.6411
2020-1-2 16:50,14.6069
2020-1-2 17:00,14.5691
2020-1-2 17:10,14.5288
2020-1-2 17:20,14.4888
2020-1-2 17:30,14.4537
2020-1-2 17:40,14.4269
2020-1-2 17:50,14.4087
2020-1-2 18:00,14.3968
2020-1-2 18:10,14.3896
2020-1-2 18:20,14.3856
2020-1-2 18:30,14.3831
2020-1-2 18:40,14.3802
2020-1-2 18:50,14.3758
2020-1-2 19:00,14.3693
2020-1-2 19:10,14.3612
2020-1-2 19:20,14.352
2020-1-2 19:30,14.3423
2020-1-2 19:40,14.3329
2020-1-2 19:50,14.3245
2020-1-2 20:00,14.3179
2020-1-2 20:10,14.3137
2020-1-2 20:20,14.3119
2020-1-2 20:30,14.3127
2020-1-2 20:40,14.316
2020-1-2 20:50,14.3217
2020-1-2 21:00,14.3299
2020-1-2 21:10,14.3409
2020-1-2 21:20,14.3548
2020-1-2 21:30,14.3714
2020-1-2 21:40,14.3901
2020-1-2 21:50,14.4096
2020-1-2 22:00,14.4285
2020-1-2 22:10,14.4456
2020-1-2 22:20,14.4609
2020-1-2 22:30,14.4754
2020-1-2 22:40,14.4907
2020-1-2 22:50,14.5078
2020-1-2 23:00,14.5265
2020-1-2 23:10,14.5461
2020-1-2 23:20,14.5659
2020-1-2 23:30,14.5863
2020-1-2 23:40,14.608
2020-1-2 23:50,14.6314
2020-1-3 0:00,14.656
2020-1-3 0:10,14.6811
2020-1-3 0:20,14.7055
2020-1-3 0:30,14.7284
2020-1-3 0:40,14.7491
2020-1-3 0:50,14.7674
2020-1-3 1:00,14.7833
2020-1-3 1:10,14.7967
2020-1-3 1:20,14.8078
2020-1-3 1:30,14.8165
2020-1-3 1:40,14.8231
2020-1-3 1:50,14.8275
2020-1-3 2:00,14.8299
2020-1-3 2:10,14.8303
2020-1-3 2:20,14.8286
2020-1-3 2:30,14.8249
2020-1-3 2:40,14.8191
2020-1-3 2:50,14.8115
2020-1-3 3:00,14.8023
2020-1-3 3:10,14.7917
2020-1-3 3:20,14.7802
2020-1-3 3:30,14.7681
2020-1-3 3:40,14.7555
2020-1-3 3:50,14.7423
2020-1-3 4:00,14.7283
2020-1-3 4:10,14.713
2020-1-3 4:20,14.6961
2020-1-3 4:30,14.6773
2020-1-3 4:40,14.656
2020-1-3 4:50,14.6301
2020-1-3 5:00,14.5979
2020-1-3 5:10,14.5599
2020-1-3 5:20,14.5195
2020-1-3 5:30,14.4813
2020-1-3 5:40,14.4481
2020-1-3 5:50,14.4211
2020-1-3 6:00,14.401
2020-1-3 6:10,14.3874
2020-1-3 6:20,14.3786
2020-1-3 6:30,14.3717
2020-1-3 6:40,14.3641
2020-1-3 6:50,14.3544
2020-1-3 7:00,14.3429
2020-1-3 7:10,14.3304
2020-1-3 7:20,14.3174
2020-1-3 7:30,14.3042
2020-1-3 7:40,14.2909
2020-1-3 7:50,14.2777
2020-1-3 8:00,14.2654
2020-1-3 8:10,14.255
2020-1-3 8:20,14.2476
2020-1-3 8:30,14.2435
2020-1-3 8:40,14.2426
2020-1-3 8:50,14.2445
2020-1-3 9:00,14.2488
2020-1-3 9:10,14.2546
2020-1-3 9:20,14.2613
2020-1-3 9:30,14.2678
2020-1-3 9:40,14.2731
2020-1-3 9:50,14.275
2020-1-3 10:00,14.271
2020-1-3 10:10,14.2595
2020-1-3 10:20,14.2408
2020-1-3 10:30,14.2181
2020-1-3 10:40,14.1963
2020-1-3 10:50,14.1796
2020-1-3 11:00,14.1712
2020-1-3 11:10,14.1725
2020-1-3 11:20,14.1842
2020-1-3 11:30,14.2062
2020-1-3 11:40,14.2374
2020-1-3 11:50,14.2762
2020-1-3 12:00,14.3204
2020-1-3 12:10,14.3675
2020-1-3 12:20,14.415
2020-1-3 12:30,14.4609
2020-1-3 12:40,14.5042
2020-1-3 12:50,14.5444
2020-1-3 13:00,14.5816
2020-1-3 13:10,14.6157
2020-1-3 13:20,14.6465
2020-1-3 13:30,14.6739
2020-1-3 13:40,14.6979
2020-1-3 13:50,14.7185
2020-1-3 14:00,14.7357
2020-1-3 14:10,14.7495
2020-1-3 14:20,14.7601
2020-1-3 14:30,14.7675
2020-1-3 14:40,14.7718
2020-1-3 14:50,14.773
2020-1-3 15:00,14.771
2020-1-3 15:10,14.7658
2020-1-3 15:20,14.7574
2020-1-3 15:30,14.7459
2020-1-3 15:40,14.7314
2020-1-3 15:50,14.7146
2020-1-3 16:00,14.6961
2020-1-3 16:10,14.6773
2020-1-3 16:20,14.6591
2020-1-3 16:30,14.6419
2020-1-3 16:40,14.6253
2020-1-3 16:50,14.6082
2020-1-3 17:00,14.5892
2020-1-3 17:10,14.5672
2020-1-3 17:20,14.5415
2020-1-3 17:30,14.5128
2020-1-3 17:40,14.4818
2020-1-3 17:50,14.4492
2020-1-3 18:00,14.4152
2020-1-3 18:10,14.3803
2020-1-3 18:20,14.3464
2020-1-3 18:30,14.3164
2020-1-3 18:40,14.2922
2020-1-3 18:50,14.2741
2020-1-3 19:00,14.2609
2020-1-3 19:10,14.2518
2020-1-3 19:20,14.2462
2020-1-3 19:30,14.2431
2020-1-3 19:40,14.241
2020-1-3 19:50,14.2386
2020-1-3 20:00,14.235
2020-1-3 20:10,14.2302
2020-1-3 20:20,14.2245
2020-1-3 20:30,14.2182
2020-1-3 20:40,14.2119
2020-1-3 20:50,14.2063
2020-1-3 21:00,14.2019
2020-1-3 21:10,14.1993
2020-1-3 21:20,14.1987
2020-1-3 21:30,14.2002
2020-1-3 21:40,14.2039
2020-1-3 21:50,14.2096
2020-1-3 22:00,14.2173
2020-1-3 22:10,14.2271
2020-1-3 22:20,14.2392
2020-1-3 22:30,14.2537
2020-1-3 22:40,14.2704
2020-1-3 22:50,14.2887
2020-1-3 23:00,14.3074
2020-1-3 23:10,14.3253
2020-1-3 23:20,14.3418
2020-1-3 23:30,14.3568
2020-1-3 23:40,14.3711
2020-1-3 23:50,14.3855
2020-1-4 0:00,14.4007
2020-1-4 0:10,14.4165
2020-1-4 0:20,14.4331
2020-1-4 0:30,14.4504
2020-1-4 0:40,14.4689
2020-1-4 0:50,14.4888
2020-1-4 1:00,14.5104
2020-1-4 1:10,14.5331
2020-1-4 1:20,14.5565
2020-1-4 1:30,14.5797
2020-1-4 1:40,14.602
2020-1-4 1:50,14.6227
2020-1-4 2:00,14.6413
2020-1-4 2:10,14.6578
2020-1-4 2:20,14.6721
2020-1-4 2:30,14.6839
2020-1-4 2:40,14.6934
2020-1-4 2:50,14.7003
2020-1-4 3:00,14.7046
2020-1-4 3:10,14.7064
2020-1-4 3:20,14.7055
2020-1-4 3:30,14.7021
2020-1-4 3:40,14.6963
2020-1-4 3:50,14.688
2020-1-4 4:00,14.6775
2020-1-4 4:10,14.6651
2020-1-4 4:20,14.6509
2020-1-4 4:30,14.6353
2020-1-4 4:40,14.6184
2020-1-4 4:50,14.6006
2020-1-4 5:00,14.5819
2020-1-4 5:10,14.5625
2020-1-4 5:20,14.5423
2020-1-4 5:30,14.5212
2020-1-4 5:40,14.4986
2020-1-4 5:50,14.4735
2020-1-4 6:00,14.4452
2020-1-4 6:10,14.414
2020-1-4 6:20,14.3816
2020-1-4 6:30,14.3504
2020-1-4 6:40,14.3226
2020-1-4 6:50,14.3
2020-1-4 7:00,14.2827
2020-1-4 7:10,14.2698
2020-1-4 7:20,14.2599
2020-1-4 7:30,14.2513
2020-1-4 7:40,14.2429
2020-1-4 7:50,14.2342
2020-1-4 8:00,14.2253
2020-1-4 8:10,14.2166
2020-1-4 8:20,14.2081
2020-1-4 8:30,14.2
2020-1-4 8:40,14.1925
2020-1-4 8:50,14.1859
2020-1-4 9:00,14.1807
2020-1-4 9:10,14.1773
2020-1-4 9:20,14.1759
2020-1-4 9:30,14.1765
2020-1-4 9:40,14.179
2020-1-4 9:50,14.1832
2020-1-4 10:00,14.189
2020-1-4 10:10,14.196
2020-1-4 10:20,14.204
2020-1-4 10:30,14.2123
2020-1-4 10:40,14.22
2020-1-4 10:50,14.2255
2020-1-4 11:00,14.227
2020-1-4 11:10,14.2232
2020-1-4 11:20,14.2146
2020-1-4 11:30,14.2035
2020-1-4 11:40,14.1928
2020-1-4 11:50,14.1856
2020-1-4 12:00,14.1836
2020-1-4 12:10,14.1882
2020-1-4 12:20,14.1995
2020-1-4 12:30,14.2171
2020-1-4 12:40,14.2402
2020-1-4 12:50,14.2677
2020-1-4 13:00,14.2987
2020-1-4 13:10,14.3323
2020-1-4 13:20,14.3675
2020-1-4 13:30,14.4036
2020-1-4 13:40,14.4397
2020-1-4 13:50,14.475
2020-1-4 14:00,14.509
2020-1-4 14:10,14.5411
2020-1-4 14:20,14.5705
2020-1-4 14:30,14.5972
2020-1-4 14:40,14.6211
2020-1-4 14:50,14.642
2020-1-4 15:00,14.66
2020-1-4 15:10,14.675
2020-1-4 15:20,14.687
2020-1-4 15:30,14.6957
2020-1-4 15:40,14.7013
2020-1-4 15:50,14.7036
2020-1-4 16:00,14.7026
2020-1-4 16:10,14.6981
2020-1-4 16:20,14.6904
2020-1-4 16:30,14.6793
2020-1-4 16:40,14.6654
2020-1-4 16:50,14.6489
2020-1-4 17:00,14.6307
2020-1-4 17:10,14.6115
2020-1-4 17:20,14.5926
2020-1-4 17:30,14.5744
2020-1-4 17:40,14.5568
2020-1-4 17:50,14.5391
2020-1-4 18:00,14.5202
2020-1-4 18:10,14.4992
2020-1-4 18:20,14.476
2020-1-4 18:30,14.451
2020-1-4 18:40,14.4246
2020-1-4 18:50,14.3971
2020-1-4 19:00,14.3684
2020-1-4 19:10,14.3388
2020-1-4 19:20,14.3101
2020-1-4 19:30,14.2846
2020-1-4 19:40,14.2638
2020-1-4 19:50,14.2476
2020-1-4 20:00,14.2357
2020-1-4 20:10,14.2275
2020-1-4 20:20,14.2221
2020-1-4 20:30,14.2185
2020-1-4 20:40,14.2151
2020-1-4 20:50,14.2111
2020-1-4 21:00,14.206
2020-1-4 21:10,14.2
2020-1-4 21:20,14.1935
2020-1-4 21:30,14.1869
2020-1-4 21:40,14.1806
2020-1-4 21:50,14.1749
2020-1-4 22:00,14.1703
2020-1-4 22:10,14.1671
2020-1-4 22:20,14.1656
2020-1-4 22:30,14.1658
2020-1-4 22:40,14.1677
2020-1-4 22:50,14.1713
2020-1-4 23:00,14.1763
2020-1-4 23:10,14.183
2020-1-4 23:20,14.1912
2020-1-4 23:30,14.2009
2020-1-4 23:40,14.2122
2020-1-4 23:50,14.2248
2020-1-5 0:00,14.2385
2020-1-5 0:10,14.2525
2020-1-5 0:20,14.2658
2020-1-5 0:30,14.2781
2020-1-5 0:40,14.2897
2020-1-5 0:50,14.3014
2020-1-5 1:00,14.3138
2020-1-5 1:10,14.3272
2020-1-5 1:20,14.3417
2020-1-5 1:30,14.357
2020-1-5 1:40,14.3734
2020-1-5 1:50,14.3912
2020-1-5 2:00,14.4108
2020-1-5 2:10,14.4325
2020-1-5 2:20,14.4557
2020-1-5 2:30,14.4796
2020-1-5 2:40,14.5034
2020-1-5 2:50,14.5267
2020-1-5 3:00,14.5488
2020-1-5 3:10,14.5694
2020-1-5 3:20,14.5875
2020-1-5 3:30,14.6034
2020-1-5 3:40,14.6168
2020-1-5 3:50,14.6272
2020-1-5 4:00,14.6347
2020-1-5 4:10,14.6392
2020-1-5 4:20,14.6407
2020-1-5 4:30,14.6391
2020-1-5 4:40,14.6345
2020-1-5 4:50,14.6271
2020-1-5 5:00,14.6169
2020-1-5 5:10,14.6042
2020-1-5 5:20,14.5892
2020-1-5 5:30,14.5723
2020-1-5 5:40,14.5538
2020-1-5 5:50,14.534
