time,radiation(W/m2)
0,0
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,24.97359012
540,68.43532927
600,170.703706
660,202.0566359
720,121.3798708
780,135.7168071
840,114.5363379
900,127.6398467
960,58.35570713
1020,9.257337177
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,0
1860,0
1920,10.33161269
1980,86.4858105
2040,212.1893087
2100,324.2322664
2160,344.0334189
2220,320.9563892
2280,308.887368
2340,216.2078949
2400,103.5415922
2460,23.79321332
2520,0.119363946
2580,0
2640,0
2700,0
2760,0
2820,0
2880,0
2940,0
3000,0
3060,0
3120,0
3180,0
3240,0
3300,0
3360,32.57309471
3420,130.2923788
3480,260.0409886
3540,384.484534
3600,414.8427644
3660,396.1424128
3720,346.9246789
3780,211.2874478
3840,143.5285142
3900,29.74814798
3960,0.278515875
4020,0
4080,0
4140,0
4200,0
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,0
4740,0
4800,4.893921803
4860,49.86760428
4920,162.3217045
4980,268.3699395
5040,400.3201509
5100,401.2087492
5160,400.7578187
5220,287.7201615
5280,145.9025305
5340,49.20447124
5400,0.3713545
5460,0
5520,0
5580,0
5640,0
5700,0
5760,0
5820,0
5880,0
5940,0
6000,0
6060,0
6120,0
6180,0
6240,2.705582785
6300,7.745393856
6360,42.04263446
6420,47.10897085
6480,71.08786142
6540,52.17530724
6600,8.514628177
6660,0.013262661
6720,0.119363946
6780,3.196301232
6840,0
6900,0
6960,0
7020,0
7080,0
7140,0
7200,0
7260,0
7320,0
7380,0
7440,0
7500,0
7560,0
7620,0
7680,2.254652321
7740,51.16734503
7800,74.9075077
7860,139.6558173
7920,154.2977947
7980,105.6636179
8040,94.41688161
8100,72.21518758
8160,48.76680344
8220,9.111447909
8280,0
8340,0
8400,0
8460,0
8520,0
8580,0
8640,0
8700,0
8760,0
8820,0
8880,0
8940,0
9000,0
9060,0
9120,5.252013642
9180,4.867396481
9240,3.236089214
9300,26.90993858
9360,81.8969299
9420,138.1173487
9480,224.8020991
9540,125.4249824
9600,80.95528099
9660,30.07971449
9720,0.3713545
9780,0
9840,0
9900,0
9960,0
10020,0
10080,0
10140,0
10200,0
10260,0
10320,0
10380,0
10440,0
10500,0
10560,6.578279713
10620,45.98164469
10680,49.00553133
10740,69.24435158
10800,31.59165782
10860,52.79865229
10920,35.37151612
10980,13.03719548
11040,10.92843243
