,1-5_a,10-12_a,11-12_a,4-9_a,6-11_a,6-9-2_a,6-9_a,8-10_a,9-11_a,9-10_a,5-6_a,1-5_b,10-12_b,11-12_b,4-9_b,6-11_b,6-9-2_b,6-9_b,8-10_b,9-11_b,9-10_b,5-6_b,sea_a,sea_b
0,41635.1,0,0,0,0,0,0,0,0,5514387.8,0,0,60126700,28281300,291464,15391400,3304490,1445790,65647.2,25541500,0,1712610,0,158448000
1,0,0,0,0,0,0,0,0,0,29890012.2,0,5497445.1,476948300,197200700,30084036,243000600,73252110,50053010,13267752.8,248908500,0,63912690,0,679409000
2,0,0,49031000,0,0,0,0,0,0,0,0,7984790,82723000,0,28677700,38284000,25587400,28783700,13253900,36108000,14822800,42040700,0,17107000
3,1616500,194686000,158204100,10438800,102944000,38110700,20887800,4699500,135183000,0,27771600,0,0,0,0,0,0,0,0,0,25010100,0,426841000,0
4,9467330,512546000,222900900,42637710,269928800,83532000,63466240,16181610,285920000,0,84710370,0,0,0,0,0,0,0,0,0,40169581,0,809853000,0
5,15006470,506467000,229267000,63376090,310099200,97510300,82159960,23299190,297832000,0,109386430,0,0,0,0,0,0,0,0,0,40223219,0,781910000,0
6,14358800,340657000,167912000,56769600,240328000,72201000,67026500,23397200,215046000,0,84663600,0,0,0,0,0,0,0,0,0,25805900,0,516810000,0
7,7550600,84592000,23282000,18425000,55051000,9960000,20297000,17227700,77453000,0,22170000,0,0,0,0,0,0,0,0,0,13535800,0,74890000,0
8,0,0,0,0,0,0,0,0,0,7424900,0,6629600,280090000,171779000,37501300,181675000,72398000,48694000,2488700,146234000,0,58073500,0,511980000
9,0,0,0,0,0,0,0,0,0,20877900,0,10987600,490376000,206130000,48237700,271657000,89127400,65740100,18919900,261510000,0,87836900,0,756112000
10,0,0,0,0,0,0,0,0,0,12252300,0,9911170,421821000,177984500,43908350,236946830,73516700,58818556,20686900,225534600,0,78703473,0,646001000
11,0,0,0,0,0,0,0,0,0,6470870,0,8401650,332563000,105962100,35307050,170408170,54312400,45495544,18829320,170884400,0,59344427,0,466170000
12,0,0,0,0,0,0,0,0,0,0,0,6545450,213832000,37927500,25314200,97971000,33770500,30118800,15236580,106368000,745560,37500400,0,256128000
13,0,0,39337700,0,0,0,0,0,0,0,0,3164430,81549000,0,10872400,18889000,5869000,10234300,9287400,27075000,6643310,9317600,0,26794000
14,2701790,94964000,116857300,9912200,69283000,29190000,15412300,1416800,76684000,0,23248100,0,0,0,0,0,0,0,0,0,12459510,0,252665000,0
15,6531310,302534000,162746100,29095300,164899900,58897800,41428300,11050100,182380300,0,56278400,0,0,0,0,0,0,0,0,0,22288590,0,517021000,0
16,9813930,372360700,158033000,41018000,211129100,64760900,55226400,15668589,210857700,0,73128920,0,0,0,0,0,0,0,0,0,27524610,0,574630000,0
17,10846470,311317300,137555000,42699000,193471000,59445400,52891000,17310711,183748000,0,67971380,0,0,0,0,0,0,0,0,0,21493490,0,474272000,0
18,8917900,205405000,95124000,30217200,133787000,37739900,36446300,15519600,128942000,0,43115200,0,0,0,0,0,0,0,0,0,14276700,0,307137000,0
19,3501400,45027000,0,4251900,18419000,0,4695000,10434700,39555000,0,6214200,0,0,0,0,0,2039000,0,0,0,8014300,0,25970000,0
20,0,0,0,0,0,0,0,0,0,7299200,0,5791000,195509000,127472000,25950800,122195000,49842700,33798900,4785700,113283000,0,37420600,0,367754000
21,0,0,0,0,0,0,0,0,0,18752700,0,8553300,396644300,163059000,36241100,209977000,69735420,49804900,15530100,213060000,0,66385600,0,613386000
22,0,0,0,0,0,0,0,0,0,13400810,0,8622680,407256700,153317000,38265300,213056400,68138180,52288800,17911140,210736200,0,70690270,0,610516000
23,0,0,0,0,0,0,0,0,0,8450390,0,7955432,338705000,123813000,34636800,174699600,56716700,45614300,17539660,176963800,0,60572730,0,497775000
24,0,0,0,0,0,0,0,0,0,1563700,0,6711338,230142000,56587700,27332700,110268000,38474000,33246600,15023800,118308000,0,42844400,0,295819000
25,0,0,21386100,0,0,0,0,0,0,0,0,4138450,77470000,0,13993700,27309000,9799000,13702500,9485500,32654000,6456590,14704200,0,40120000
26,1851230,99450000,108000600,6752400,63483000,26452000,12184400,1363200,75318000,0,19778700,0,0,0,0,0,0,0,0,0,13271210,0,250272000,0
27,6342690,282830000,185508000,27356800,161958000,58212500,39423700,10724700,182340500,0,54944600,0,0,0,0,0,0,0,0,0,23165800,0,524286000,0
28,9812060,370433000,188691000,40804900,216323000,66578400,55756320,15488870,220719500,0,75376763,0,0,0,0,0,0,0,0,0,29365480,0,614610000,0
29,11458720,369048770,170525000,46975900,223641000,69220600,60180580,18382390,218135000,0,78843937,0,0,0,0,0,0,0,0,0,27374800,0,577970000,0
30,11203000,291808230,153102000,42725700,194115000,57547500,52332000,18573540,183209000,0,64608900,0,0,0,0,0,0,0,0,0,21177320,0,467902000,0
31,8463300,176414000,81321000,26430100,114152000,30261000,31684000,16418300,120110000,0,36636700,0,0,0,0,0,0,0,0,0,15721900,0,254920000,0
32,0,0,0,0,0,0,0,7964000,0,0,0,347700,44240000,38234000,9428800,39329000,22723000,12068000,0,2928000,7131500,9727100,0,111260000
33,0,0,0,0,0,0,0,0,0,11767500,0,7890000,285523000,152168000,32702100,165417000,61529300,42939500,10397300,161874000,0,52862900,0,486598000
34,0,0,0,0,0,0,0,0,0,16587800,0,8590500,413858000,157581000,38408100,218057000,71371200,52370600,17235600,217771000,0,70405200,0,622705000
35,0,0,0,0,0,0,0,0,0,10671740,0,8333000,363323000,153407000,36656900,198950600,62467600,49393500,18061870,195451000,0,66208660,0,559522000
36,0,0,0,0,0,0,0,0,0,5636960,0,7375130,290132000,104639000,31215400,151523400,48473900,40367400,16739850,153481900,0,52834540,0,420291000
37,0,0,0,0,0,0,0,0,0,0,0,5691642,179068000,33086000,22253600,83610000,28076000,26172500,13435280,90025100,1117600,32754700,0,213807000
38,0,0,45740000,0,0,1877000,0,0,0,0,0,1811888,38120000,0,6613300,2135000,0,5057800,6926200,5921000,7000100,3094600,27406000,0
39,3660890,142274000,123126000,14480600,87087000,36637000,21145800,4530400,101039540,0,29653400,0,0,0,0,0,0,0,0,0,13215300,0,306159000,0
40,6983040,280771000,166378000,30533700,164426890,57469700,42506900,11646500,177531460,0,57639470,0,0,0,0,0,0,0,0,0,21315000,0,491755900,0
41,9077830,286575000,165519000,37434710,182302110,56569830,49115400,14554928,181869000,0,64609890,0,0,0,0,0,0,0,0,0,23128100,0,488490100,0
42,9265300,216281000,153295000,35459590,158313000,48385170,43678200,15028772,152145000,0,55174340,0,0,0,0,0,0,0,0,0,16997200,0,390020000,0
43,7330400,160440900,81837000,23227000,106634000,28313200,28292000,13069800,104760000,0,32803600,0,0,0,0,0,0,0,0,0,11976200,0,246342000,0
44,2003000,10406400,0,0,1297000,0,0,7598800,16646000,0,1193000,0,0,11450000,363900,0,8424600,973400,0,0,4982400,0,0,20090000
45,0,0,0,0,0,0,0,0,0,8703100,0,5958800,252372300,72091000,24773000,120589000,47905700,32485100,6823000,119355000,0,37037700,0,364605000
46,0,0,0,0,0,0,0,0,0,15599800,0,7829200,385106000,107709000,32951140,186138000,62613300,44940400,14430200,189248000,0,60519040,0,538212000
47,0,0,0,0,0,0,0,0,0,10458030,0,7637600,349050000,119573000,33222460,178291200,58180300,44783200,15872944,178322000,0,60427260,0,509363000
48,0,0,0,0,0,0,0,0,0,5938670,0,6848090,273080000,104302000,29304600,143087800,46628000,38055100,15128856,145692860,0,50082100,0,404304000
49,0,0,0,0,0,0,0,0,0,0,0,5465100,165470000,49284000,21941400,84587000,28493000,26140600,12415300,89347840,175800,33174700,0,218436000
50,0,0,29559000,0,0,347000,0,0,0,0,0,2061020,29630000,0,7491900,6266000,0,6219100,6258800,6875300,6689300,5134200,17390000,0
51,3321220,140960000,105963000,12551300,78446000,33465000,18605100,4509600,94909340,0,26407800,0,0,0,0,0,0,0,0,0,12848100,0,287114000,0
52,6615590,282910000,164232000,29092200,160669200,56686700,40838400,11302800,176243660,0,55801700,0,0,0,0,0,0,0,0,0,21288900,0,495746000,0
53,9203000,304111000,189835000,38279970,193914800,60137400,51275300,14775450,197380000,0,67984380,0,0,0,0,0,0,0,0,0,25879100,0,539994000,0
54,10323200,327922000,139040000,41298530,194446000,59694800,52327000,16784350,189186000,0,67140020,0,0,0,0,0,0,0,0,0,22734870,0,499318000,0
55,9734100,260516000,111720000,35014200,162143000,46546500,43040100,16532300,154610000,0,52045200,0,0,0,0,0,0,0,0,0,17709330,0,388778000,0
56,6202800,106240200,64790000,16801400,73757000,17085000,19988000,13500200,85884000,0,24294000,0,0,0,0,0,0,0,0,0,12070900,0,164460000,0
57,0,0,0,0,0,0,0,3304800,0,0,0,2537100,103294200,42200000,15715900,62134000,30567500,19551000,0,33866000,4130500,17707000,0,175820000
58,0,0,0,0,0,0,0,0,0,13910600,0,7540800,307241000,136920000,31144100,164557000,59879921,41425200,12116100,170211000,0,52828800,0,489624000
59,0,0,0,0,0,0,0,0,0,14320900,0,8068400,380690000,143920000,35784600,200389000,65626979,48600100,16489000,200474000,0,65519290,0,571135000
60,0,0,0,0,0,0,0,0,0,9378200,0,7695800,345674000,123395000,33461700,179211030,56635000,44922200,16797389,178089000,0,59942620,0,508022000
61,0,0,0,0,0,0,0,0,0,4755300,0,6791500,258670000,98889000,28648300,136613970,43992000,36805400,15483611,139645400,0,47975390,0,380039000
62,0,0,0,0,0,0,0,0,0,0,0,5065460,149400000,31183000,19791700,71632000,23790000,22962500,12089600,77198670,1752100,28539600,0,180658000
63,0,0,44574000,0,6014000,5453000,0,0,4570380,0,312200,932770,15500000,0,4023500,0,0,2218100,5296700,0,7168300,0,48819000,0
64,3816930,151650000,117642000,15449000,88299000,37317000,22147800,5505100,104834690,0,30582300,0,0,0,0,0,0,0,0,0,13215700,0,307871000,0
65,6789800,252210000,171031000,29572200,156121900,54742800,40834600,11388100,168780000,0,55262435,0,0,0,0,0,0,0,0,0,20024680,0,465266000,0
