sta,time,num,num_new,p,no3,nh4,cha
白马港,2016-4-8,3,2,41,0.5315,0.079,1.205
东吾洋,2016-4-7,8,3,45,0.2885,0.107,0.655
官井洋,2016-4-8,6,1,36,0.256,0.021,3.63
三都澳礁头,2016-4-8,6,1,39,0.407,0.104,1.94
三都澳口外,2016-4-21,12,5,21.3,0.099,0.00233,0.67
三都澳漳湾,2016-4-8,1,1,40.5,0.5125,0.133,1.275
盐田港,2016-4-8,4,2,40,0.495,0.0705,1.1
白马港,2016-7-5,3,2,13,0.6845,0.062,5.8442
东吾洋,2016-7-6,8,3,21.5,0.4075,0.042,7.9169
官井洋,2016-7-5,6,1,21.3,0.366,0.03367,7.7428
三都澳礁头,2016-7-5,6,1,19,0.907,0.066,2.6366
三都澳口外,2016-7-18,12,5,22.3,0.05,0.00267,1.535
三都澳漳湾,2016-7-5,1,1,14,0.778,0.1005,5.8414
盐田港,2016-7-5,4,2,13,0.5305,0.054,4.3177
白马港,2016-10-9,3,2,18.5,0.5995,0.0235,1.085
东吾洋,2016-10-9,8,3,24,0.5095,0.006,1.845
官井洋,2016-10-9,6,1,12.5,0.533,0.007,0.7525
三都澳礁头,2016-10-9,6,1,12,0.55,0.028,0.409
三都澳口外,2016-10-24,12,5,26.3,0.2857,0.00467,0.7703
三都澳漳湾,2016-10-9,1,1,14,0.5405,0.0305,1.1185
盐田港,2016-10-9,4,2,13,0.5975,0.007,0.5435
白马港,2017-4-11,3,2,32.8,0.489,0.096,1.215
东吾洋,2017-4-11,8,3,47.2,0.213,0.1005,0.7215
官井洋,2017-4-11,6,1,32,0.3177,0.073,0.98
三都澳礁头,2017-4-11,6,1,66.7,0.509,0.078,3.78
三都澳口外,2017-3-18,12,5,55.2,0.327,0.01433,0.736
三都澳漳湾,2017-4-11,1,1,27.3,0.4225,0.128,0.596
盐田港,2017-4-11,4,2,37.6,0.433,0.105,0.9505
白马港,2017-7-12,3,2,18.2,0.3655,0.0375,-1
东吾洋,2017-7-12,8,3,19.6,0.2705,0.045,-1
官井洋,2017-7-12,6,1,23,0.231,0.03167,-1
三都澳礁头,2017-7-12,6,1,36.1,0.294,0.079,-1
三都澳口外,2017-7-5,12,5,24.9,0.0773,0.01633,-1
三都澳漳湾,2017-7-12,1,1,19.5,0.381,0.04233,-1
盐田港,2017-7-12,4,2,18.6,0.333,0.0455,-1
白马港,2017-10-10,3,2,31.2,0.545,0.02,-1
东吾洋,2017-10-10,8,3,70,0.4685,0.0365,-1
官井洋,2017-10-10,6,1,48.8,0.4367,0.02067,-1
三都澳礁头,2017-10-10,6,1,65.6,0.448,0.036,-1
三都澳口外,2017-9-7,12,5,31.1,0.072,0.00867,-1
三都澳漳湾,2017-10-10,1,1,24,0.4885,0.02,-1
盐田港,2017-10-10,4,2,13,0.4935,0.024,-1
白马港,2018-4-18,3,2,14.8,0.551,0.165,-1
东吾洋,2018-4-18,8,3,23.4,0.4245,0.2785,0.7915
官井洋,2018-4-18,6,1,6.6,0.4033,0.11767,0.958
三都澳礁头,2018-4-18,6,1,12.1,0.46,0.109,-1
三都澳口外,2018-5-4,12,5,22.2,0.1137,0.03567,3.6533
三都澳漳湾,2018-4-18,1,1,8.8,0.5505,0.269,1.175
盐田港,2018-4-18,4,2,28.4,0.4815,0.1725,-1
白马港,2018-7-18,3,2,28.9,0.6775,0.0405,-1
东吾洋,2018-8-1,8,3,8.8,0.3465,0.002L,-1
官井洋,2018-7-18,6,1,25,0.3783,0.02267,-1
三都澳礁头,2018-7-18,6,1,20.6,0.42,0.034,-1
三都澳口外,2018-7-14,12,5,87,0.2197,0.02833,-1
三都澳漳湾,2018-7-18,1,1,19.3,0.573,0.029,-1
盐田港,2018-7-18,4,2,29.4,0.5555,0.026,-1
白马港,2018-9-18,3,2,9,0.6285,0.0225,-1
东吾洋,2018-9-18,8,3,43.1,0.406,0.0475,-1
官井洋,2018-9-18,6,1,9.1,0.4833,0.046,-1
三都澳礁头,2018-9-18,6,1,7.4,0.427,0.012,-1
三都澳口外,2018-10-16,12,5,18.4,0.355,0.00733,-1
三都澳漳湾,2018-9-18,1,1,7.6,0.536,0.0675,-1
盐田港,2018-9-18,4,2,8.4,0.611,0.0115,-1
白马港,2019-5-16,3,2,32.1,0.5485,0.0595,1.0852
白马港口,2019-4-25,4,2,14.4,0.742,0.083,1.0098
东吾洋,2019-5-17,8,3,17.8,0.4335,0.106,0.8921
东吾洋内,2019-4-23,8,3,134,0.43,0.018,0.4416
官井洋,2019-5-16,6,1,10.3,0.4563,0.05733,0.855
金门北,2019-4-28,3,2,12.4,0.2875,0.056,0.5601
宁德东冲半岛西,2019-4-23,10,4,35,0.51,0.10433,0.2208
三都澳礁头,2019-5-16,6,1,27.7,0.471,0.066,1.4773
三都澳金蛇头,2019-4-25,7,1,44.1,0.64,0.185,1.1372
三都澳口,2019-4-23,11,4,65,0.4338,0.028,0.3393
三都澳口外,2019-5-10,12,5,25.4,0.3957,0.026,1.2966
三都澳上鼻头角,2019-4-25,9,3,8.4,0.695,0.089,0.6116
三都澳湾坞,2019-4-28,3,2,18.2,0.221,0.048,0.4497
三都澳湾坞北,2019-4-28,2,2,13.4,0.417,0.079,0.4578
三都澳云淡,2019-4-28,1,1,12.1,0.272,0.11,0.5609
三都澳漳湾,2019-5-16,1,1,33.3,0.535,0.092,0.9792
三都东冲半岛西,2019-4-23,10,4,43.5,0.463,0.03933,0.2998
三都镇北,2019-4-25,5,2,16.1,0.6495,0.0845,0.8921
三都镇南,2019-4-25,6,1,17.2,0.566,0.096,0.5601
盐田港,2019-5-16,4,2,14.9,0.513,0.057,1.5792
盐田港口,2019-4-25,9,3,13.2,0.511,0.083,0.4578
白马港,2019-7-24,3,2,13.4,0.446,0.074,2.0562
白马港口,2019-8-8,4,2,22.6,0.25,0.0745,1.95
东吾洋,2019-7-24,8,3,9,0.364,0.17,2.0994
东吾洋内,2019-8-18,8,3,24.4,0.174,0.026,0.88
官井洋,2019-7-24,6,1,11.4,0.2783,0.06433,3.2789
金门北,2019-8-8,3,2,23.2,0.3095,0.0725,0.975
宁德东冲半岛西,2019-8-17,10,4,26.8,0.2005,0.0335,0.68
三都澳礁头,2019-7-24,6,1,16.6,0.327,0.05,1.8004
三都澳金蛇头,2019-8-8,7,1,34,0.167,0.087,1.83
三都澳口,2019-8-19,11,4,24.4,0.1372,0.02075,0.605
三都澳口外,2019-8-15,12,5,27.9,0.0687,0.01967,2.1059
三都澳上鼻头角,2019-8-8,9,3,21.3,0.249,0.064,1.34
三都澳湾坞,2019-8-16,3,2,39.4,0.196,0.018,0.88
三都澳湾坞北,2019-8-16,2,2,33.2,0.585,0.058,1.49
三都澳云淡,2019-8-8,1,1,14.9,0.3595,0.0745,1.46
三都澳漳湾,2019-7-24,1,1,12.4,0.4095,0.0525,1.3499
三都东冲半岛西,2019-8-14,10,4,41.2,0.1155,0.0375,0.665
三都镇北,2019-8-8,5,2,18.5,0.2155,0.0595,1.8
三都镇南,2019-8-14,6,1,15.9,0.081,0.0155,1.52
盐田港,2019-7-24,4,2,8.6,0.3635,0.0445,3.3308
盐田港口,2019-8-14,9,3,35.1,0.1385,0.023,1.27
白马港,2019-10-16,3,2,25.6,0.2365,0.0265,4.08
白马港口,2019-10-17,4,2,38.5,0.596,0.0235,0.91
东吾洋,2019-10-16,8,3,18.8,0.283,0.01,2.64
东吾洋内,2019-10-29,8,3,70.6,0.453,0.076,0.6
官井洋,2019-10-16,6,1,31.8,0.321,0.01633,5.3267
金门北,2019-11-1,3,2,140.6,0.851,0.039,0.79
宁德东冲半岛西,2019-10-30,10,4,70.8,0.499,0.064,0.525
三都澳礁头,2019-10-16,6,1,22.2,0.148,0.034,4.285
三都澳金蛇头,2019-10-17,7,1,55.7,0.709,0.12,0.65
三都澳口,2019-10-17,11,4,61.7,0.5095,0.028,0.655
三都澳口外,2019-10-11,12,5,34.3,0.282,0.01633,2.7033
三都澳上鼻头角,2019-10-17,9,3,56,0.6295,0.018,0.545
三都澳湾坞,2019-11-1,3,2,362,0.965,0.012,0.44
三都澳湾坞北,2019-11-1,2,2,326,1.05,0.009,0.92
