sta,time,num_new,p,no3,nh4,cha
海洋部门,2016-3-8,1,5.3,0.393,0.06,0
官井洋,2016-4-8,1,36,0.256,0.021,3.63
海洋部门,2016-5-10,1,22.3,0.351,0.05,0
海洋部门,2016-5-10,1,21,0.322,0.046,0
海洋部门,2016-5-11,1,23,0.31,0.043,0
官井洋,2016-7-5,1,21.3,0.366,0.03367,7.7428
海洋部门,2016-8-15,1,13,0.26,0.047,0
海洋部门,2016-8-15,1,11,0.264,0.053,0
海洋部门,2016-8-15,1,12.6,0.249,0.059,0
海洋部门,2016-8-15,1,14.1,0.195,0.042,0
海洋部门,2016-8-15,1,20.2,0.188,0.046,0
海洋部门,2016-8-15,1,18.4,0.193,0.044,0
海洋部门,2016-10-17,1,9.5,0.32,0.038,0
海洋部门,2016-10-17,1,23.5,0.339,0.037,0
海洋部门,2016-10-17,1,24.9,0.335,0.034,0
海洋部门,2016-10-18,1,65,0.248,0.032,0
海洋部门,2017-3-1,1,48.6,0.398,0.067,0
官井洋,2017-4-11,1,32,0.3177,0.073,0.98
海洋部门,2017-5-11,1,11.4,0.319,0.067,0
海洋部门,2017-5-11,1,14.8,0.231,0.059,0
官井洋,2017-7-12,1,23,0.231,0.03167,-1
海洋部门,2017-8-7,1,9.8,0.3,0.043,0
海洋部门,2017-8-7,1,6.4,0.235,0.05,0
海洋部门,2017-8-7,1,11.2,0.334,0.053,0
海洋部门,2017-8-7,1,17,0.118,0.069,0
海洋部门,2017-8-8,1,10.2,0.186,0.051,0
海洋部门,2017-8-8,1,9.2,0.172,0.054,0
海洋部门,2017-10-18,1,14.4,0.398,0.047,0
海洋部门,2017-10-18,1,15,0.362,0.054,0
海洋部门,2017-10-18,1,12.9,0.325,0.034,0
海洋部门,2017-10-19,1,13.8,0.375,0.037,0
海洋部门,2017-10-19,1,16,0.358,0.034,0
海洋部门,2018-3-6,1,29,0.367,0.051,0
海洋部门,2018-3-6,1,26,0.392,0.041,0
海洋部门,2018-5-15,1,23.6,0.236,0.063,0
海洋部门,2018-5-16,1,20.8,0.223,0.05,0
官井洋,2018-7-18,1,25,0.3783,0.02267,-1
海洋部门,2018-8-8,1,10.2,0.224,0.046,0
海洋部门,2018-8-8,1,12,0.33,0.052,0
海洋部门,2018-8-8,1,20.4,0.293,0.056,0
海洋部门,2018-8-9,1,22.6,0.226,0.05,0
海洋部门,2018-8-9,1,29,0.202,0.046,0
海洋部门,2018-8-9,1,18.2,0.207,0.047,0
海洋部门,2018-10-9,1,40.6,0.357341788,0.045,0
海洋部门,2018-10-9,1,6.8,0.385192168,0.05,0
海洋部门,2018-10-9,1,12.4,0.381335961,0.057,0
海洋部门,2018-10-9,1,26.6,0.316208921,0.038,0
海洋部门,2018-10-9,1,33.4,0.290500878,0.038,0
海洋部门,2018-10-9,1,115.3,0.318779725,0.039,0
三都澳云淡,2019-4-28,1,12.1,0.272,0.11,0.5609
官井洋,2019-7-24,1,11.4,0.2783,0.06433,3.2789
三都澳云淡,2019-8-8,1,14.9,0.3595,0.0745,1.46
三都镇南,2019-8-14,1,15.9,0.081,0.0155,1.52
官井洋,2019-10-16,1,31.8,0.321,0.01633,5.3267
官井洋,2020-5-14,1,16,0.2233,0.094,1.57
官井洋,2020-8-13,1,16.2,0.3413,0.005,1.7867
三都澳云淡,2020-8-18,1,9.7,0.208,0.029,1.4
三都镇南,2020-8-18,1,17.4,0.16,0.0075,0.86
漳湾横屿东,2020-8-18,1,12.5,0.18,0.019,1.17
海洋部门,2016-8-15,2,11.6,0.24,0.049,0
海洋部门,2016-8-17,2,16.2,0.391,0.071,0
海洋部门,2016-8-17,2,13.2,0.359,0.063,0
海洋部门,2016-8-17,2,16.5,0.315,0.055,0
海洋部门,2016-8-17,2,17.6,0.276,0.042,0
海洋部门,2016-8-17,2,24.6,0.237,0.045,0
海洋部门,2016-8-17,2,24,0.215,0.047,0
海洋部门,2016-10-17,2,18.6,0.343,0.033,0
海洋部门,2016-10-19,2,89.6,0.399,0.051,0
海洋部门,2016-10-19,2,39,0.378,0.046,0
海洋部门,2016-10-19,2,33,0.283,0.04,0
海洋部门,2016-10-19,2,61.6,0.378,0.035,0
海洋部门,2017-5-9,2,17.3,0.377,0.076,0
海洋部门,2017-5-10,2,41.6,0.304,0.076,0
白马港,2017-7-12,2,18.2,0.3655,0.0375,-1
盐田港,2017-7-12,2,18.6,0.333,0.0455,-1
海洋部门,2017-8-7,2,16.2,0.3,0.053,0
海洋部门,2017-8-7,2,14.8,0.206,0.04,0
海洋部门,2017-8-7,2,10,0.16,0.052,0
海洋部门,2017-8-10,2,7,0.35,0.053,0
海洋部门,2017-8-10,2,8,0.295,0.045,0
海洋部门,2017-10-18,2,24,0.345,0.033,0
