sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
F6,huanbao,2,0,2016/4/8,2016,4,8,5,0.5315,0.079,1.205
F11,huanbao,3,0,2016/4/7,2016,4,7,5,0.2885,0.107,0.655
F10,huanbao,3,0,2016/4/8,2016,4,8,5,0.256,0.021,3.63
F9,huanbao,1,0,2016/4/8,2016,4,8,5,0.407,0.104,1.94
F12,huanbao,5,0,2016/4/21,2016,4,21,5,0.099,0.00233,0.67
F8,huanbao,1,0,2016/4/8,2016,4,8,5,0.5125,0.133,1.275
F7,huanbao,2,0,2016/4/8,2016,4,8,5,0.495,0.0705,1.1
F6,huanbao,2,0,2016/7/5,2016,7,5,8,0.6845,0.062,5.8442
F11,huanbao,3,0,2016/7/6,2016,7,6,8,0.4075,0.042,7.9169
F10,huanbao,3,0,2016/7/5,2016,7,5,8,0.366,0.03367,7.7428
F9,huanbao,1,0,2016/7/5,2016,7,5,8,0.907,0.066,2.6366
F12,huanbao,5,0,2016/7/18,2016,7,18,8,0.05,0.00267,1.535
F8,huanbao,1,0,2016/7/5,2016,7,5,8,0.778,0.1005,5.8414
F7,huanbao,2,0,2016/7/5,2016,7,5,8,0.5305,0.054,4.3177
F6,huanbao,2,0,2016/10/9,2016,10,9,11,0.5995,0.0235,1.085
F11,huanbao,3,0,2016/10/9,2016,10,9,11,0.5095,0.006,1.845
F10,huanbao,3,0,2016/10/9,2016,10,9,11,0.533,0.007,0.7525
F9,huanbao,1,0,2016/10/9,2016,10,9,11,0.55,0.028,0.409
F12,huanbao,5,0,2016/10/24,2016,10,24,11,0.2857,0.00467,0.7703
F8,huanbao,1,0,2016/10/9,2016,10,9,11,0.5405,0.0305,1.1185
F7,huanbao,2,0,2016/10/9,2016,10,9,11,0.5975,0.007,0.5435
F6,huanbao,2,0,2017/4/11,2017,4,11,5,0.489,0.096,1.215
F11,huanbao,3,0,2017/4/11,2017,4,11,5,0.213,0.1005,0.7215
F10,huanbao,3,0,2017/4/11,2017,4,11,5,0.3177,0.073,0.98
F9,huanbao,1,0,2017/4/11,2017,4,11,5,0.509,0.078,3.78
F12,huanbao,5,0,2017/3/18,2017,3,18,5,0.327,0.01433,0.736
F8,huanbao,1,0,2017/4/11,2017,4,11,5,0.4225,0.128,0.596
F7,huanbao,2,0,2017/4/11,2017,4,11,5,0.433,0.105,0.9505
F6,huanbao,2,0,2017/7/12,2017,7,12,8,0.3655,0.0375,
F11,huanbao,3,0,2017/7/12,2017,7,12,8,0.2705,0.045,
F10,huanbao,3,0,2017/7/12,2017,7,12,8,0.231,0.03167,
F9,huanbao,1,0,2017/7/12,2017,7,12,8,0.294,0.079,
F12,huanbao,5,0,2017/7/5,2017,7,5,8,0.0773,0.01633,
F8,huanbao,1,0,2017/7/12,2017,7,12,8,0.381,0.04233,
F7,huanbao,2,0,2017/7/12,2017,7,12,8,0.333,0.0455,
F6,huanbao,2,0,2017/10/10,2017,10,10,11,0.545,0.02,
F11,huanbao,3,0,2017/10/10,2017,10,10,11,0.4685,0.0365,
F10,huanbao,3,0,2017/10/10,2017,10,10,11,0.4367,0.02067,
F9,huanbao,1,0,2017/10/10,2017,10,10,11,0.448,0.036,
F12,huanbao,5,0,2017/9/7,2017,9,7,11,0.072,0.00867,
F8,huanbao,1,0,2017/10/10,2017,10,10,11,0.4885,0.02,
F7,huanbao,2,0,2017/10/10,2017,10,10,11,0.4935,0.024,
F6,huanbao,2,0,2018/4/18,2018,4,18,5,0.551,0.165,
F11,huanbao,3,0,2018/4/18,2018,4,18,5,0.4245,0.2785,
F10,huanbao,3,0,2018/4/18,2018,4,18,5,0.4033,0.11767,
