time,nh4,no3
2015/7/3 0:00,0.001,0.133
2015/11/24 0:00,0.00467,0.2857
2016/2/21 0:00,0.02,0.24
2016/5/21 0:00,0.00233,0.099
2016/8/18 0:00,0.00267,0.05
2016/10/24 0:00,0.00467,0.2857
2017/2/18 0:00,0.01433,0.327
2017/5/5 0:00,0.01633,0.0773
2017/8/7 0:00,0.00867,0.072
2017/10/24 0:00,0.01,0.25
2018/3/18 0:00,0.01433,0.327
2018/5/4 0:00,0.03567,0.1137
2018/7/14 0:00,0.02833,0.2197
2018/10/16 0:00,0.00733,0.355
2019/2/28 0:00,0.017,0.202
2019/5/15 0:00,0.01967,0.0687
2019/8/15 0:00,0.02667,0.139
2019/10/11 0:00,0.01633,0.282
2019/10/26 0:00,0.032,0.4048
2020/3/14 0:00,0.0675,0.1422
2020/6/1 0:00,0.00285,0.08
2020/11/22 0:00,0.01275,0.314
2021/2/1 0:00,0.05667,0.1957
