time,nh4,no3
2015/7/10 0:00,0.001,0.133
2015/10/24 0:00,0.00733,0.2857
2016/4/21 0:00,0.03567,0.099
2016/6/18 0:00,0.02833,0.05
2016/10/24 0:00,0.00733,0.2857
2017/3/18 0:00,0.03567,0.099
2017/7/5 0:00,0.02833,0.05
2017/10/7 0:00,0.00733,0.2857
2018/4/4 0:00,0.03567,0.099
2018/8/14 0:00,0.02833,0.05
2018/11/16 0:00,0.00733,0.2857
2019/3/15 0:00,0.03567,0.099
2019/6/10 0:00,0.02833,0.05
2019/10/11 0:00,0.00733,0.2857
2020/3/26 0:00,0.03567,0.099
2020/8/1 0:00,0.02833,0.05
2020/11/22 0:00,0.00733,0.2857
2021/5/1 0:00,0.05667,0.3357
