Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,6845.496615,1198.292928,4276.780284,611.2838693,695.1423062,59658.65748,0
zone2,0,0,0,0,0,0,0
zone3,1897.726871,1334.65722,1142.243206,112.2203852,140.2754815,4090.032252,0
zone4,7489.297417,1310.9892,4679.000127,668.773496,760.5185965,65269.396,0
zone5,6939.419905,1146.898715,4768.50448,989.8828197,1099.111269,29508.74819,0
zone6,626.8211054,110.6154892,3708.892555,9.763568619,27.33799213,8810.644322,0
zone7,3029.733557,500.7331407,2081.917255,432.1803893,479.8692598,12883.44643,0
zone8,13012.61232,2277.836393,8129.736518,1161.990204,1321.396803,113405.21,0
zone9,1409.908141,248.807319,8342.408643,21.961186,61.49132079,19817.77424,0
zone10,3208.88516,530.3420628,2205.023398,457.7357089,508.2444768,13645.25932,0
zone11,3148.263823,520.3229928,2163.366729,449.0882974,498.6428681,13387.477,0
zone12,4613.901033,813.6446383,2777.110442,272.8389206,341.0486508,9944.004232,0
zone13,0,0,0,0,0,0,0
zone14,6184.299675,3285.19329,1314.731589,129.1666122,161.4582653,4707.661706,0
zone15,877.5819645,154.8674055,5192.641387,13.669501,38.27460281,12335.35771,0
zone16,2668.302613,440.9983659,1833.555706,380.6235896,422.623434,11346.52046,0
zone17,2114.574705,372.8975457,1272.764078,125.0434884,156.3043605,4557.388568,0
zone18,8063.552549,1411.511616,5037.770742,720.0528872,818.8327057,70274.04243,0
zone19,4213.157501,696.3211609,2895.121017,600.9914782,667.3077792,17915.7632,0
zone20,750.0723508,132.365709,4438.168616,11.68336995,32.71343586,10543.07304,0
