Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,0,0,0,0,0,0,0
zone2,0,0,0,0,0,0,0
zone3,0,0,0,0,0,0,0
zone4,0,0,0,0,0,0,0
zone5,29445.37421,8666.197092,23556.29936,13875.2709,1541.696767,18500.3612,0
zone6,29445.37421,8666.197092,23556.29936,13875.2709,1541.696767,18500.3612,0
zone7,0,0,0,0,0,0,0
zone8,0,0,0,0,0,0,0
zone9,0,0,0,0,0,0,0
zone10,0,0,0,0,0,0,0
zone11,0,0,0,0,0,0,0
zone12,0,0,0,0,0,0,0
zone13,0,0,0,0,0,0,0
zone14,0,0,0,0,0,0,0
zone15,0,0,0,0,0,0,0
zone16,14875.57552,4378.095804,11900.46041,7009.679642,778.8532933,9346.239521,0
zone17,14875.57552,4378.095804,11900.46041,7009.679642,778.8532933,9346.239521,0
zone18,14875.57552,4378.095804,11900.46041,7009.679642,778.8532933,9346.239521,0
zone19,14875.57552,4378.095804,11900.46041,7009.679642,778.8532933,9346.239521,0
zone20,21833.05004,6425.780608,17466.44003,10288.1859,1143.131767,13717.5812,0
zone21,0,0,0,0,0,0,0
zone22,0,0,0,0,0,0,0
zone23,0,0,0,0,0,0,0
zone24,0,0,0,0,0,0,0
