Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,4815.170223,1417.173845,3852.136177,2269.008055,252.1120061,3025.344074,0
zone2,495.6580917,145.8793045,396.5264732,233.5643707,25.95159674,311.4191609,0
zone3,7760.178786,2283.932217,6208.143026,3656.757157,406.3063508,4875.676209,0
zone4,1669.754664,491.4328106,1335.80373,786.8230211,87.42478012,1049.097361,0
zone5,29751.77518,8756.375302,23801.42014,14019.65339,1557.739266,18692.87119,0
zone6,0,0,0,0,0,0,0
zone7,0,0,0,0,0,0,0
zone8,514.6462202,151.4677838,411.716976,242.5119705,26.9457745,323.349294,0
zone9,0,0,0,0,0,0,0
zone10,5549.448952,1633.282634,4439.55916,2615.015418,290.5572687,3486.687224,0
zone11,0,0,0,0,0,0,0
zone12,436.7540949,128.5430112,349.4032758,205.8075859,22.86750955,274.4101146,0
zone13,0,0,0,0,0,0,0
zone14,0,0,0,0,0,0,0
zone15,155.5219103,45.77233479,124.4175282,73.28514899,8.142794333,97.71353198,0
zone16,87163.07065,25653.3452,69730.45649,41073.04628,4563.671809,54764.0617,0
zone17,785.1582946,231.0833776,628.1266355,369.9828693,41.1092077,493.3104923,0
zone18,0,0,0,0,0,0,0
zone19,1128.963475,332.2701864,903.1707794,531.9909992,59.11011102,709.3213322,0
zone20,140226.1005,41270.55801,112180.8804,66077.44627,7341.938474,88103.26168,0
