Zone,NH4,NO3,ON,PO4,OP,CBOD,DO,,,,,
zone1,7369.472996,14178.7905,0,86.15,344.61,0,0,,,,,
zone2,3302.831822,6354.614567,0,38.63,154.53,0,0,,,,,
zone3,5197.788851,10000.49246,0,59.59,238.36,0,0,,,,,
zone4,8077.29319,15540.6293,0,92.49,369.97,0,0,,,,,
zone5,5998.32058,11540.70731,0,72.15,288.61,0,0,,,,,
zone6,4785.239287,9206.751333,0,57.97,231.86,0,0,,,,,
zone7,4343.811553,8357.448899,0,52.82,211.29,0,0,,,,,
zone8,4669.937491,8984.91186,0,56.14,224.55,0,0,,,,,
zone9,2966.371799,5707.268932,0,35.34,141.37,0,0,,,,,
zone10,2863.475095,5509.296729,0,34.74,138.96,0,0,,,,,
zone11,4887.202213,9402.926959,0,58.58,234.32,0,0,,,,,
zone12,3139.25205,6039.888764,0,37.04,148.14,0,0,,,,,
zone13,2037.027765,3919.220538,0,24.1,96.38,0,0,,,,,
zone14,3787.614688,7287.331832,0,44.53,178.13,0,0,,,,,
zone15,4110.532454,7908.622304,0,48.09,192.37,0,0,,,,,
zone16,4486.404855,8631.79695,0,52.24,208.94,0,0,,,,,
zone17,4573.046782,8798.495129,0,53.37,213.49,0,0,,,,,
zone18,8785.567257,16903.34134,0,102.77,411.08,0,0,,,,,
zone19,10718.48822,20622.26145,0,125.37,501.46,0,0,,,,,
zone20,9854.957935,18960.83804,0,115.26,461.05,0,0,,,,,
zone21,8999.392855,17314.7396,0,105.42,421.67,0,0,,,,,
zone22,1258.771858,2421.86415,0,14.18,56.74,0,0,,,,,
zone23,2941.532732,5659.478821,0,34,136.01,0,0,,,,,
zone24,6075.23338,11688.68674,0,71.36,285.46,0,0,,,,,
