Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,307.0613748,590.7829375,0,3.589583333,14.35875,0,0
zone2,137.6179926,264.775607,0,1.609583333,6.43875,0,0
zone3,216.5745355,416.6871858,0,2.482916667,9.931666667,0,0
zone4,336.5538829,647.5262208,0,3.85375,15.41541667,0,0
zone5,249.9300242,480.8628046,0,3.00625,12.02541667,0,0
zone6,199.3849703,383.6146389,0,2.415416667,9.660833333,0,0
zone7,180.992148,348.2270375,0,2.200833333,8.80375,0,0
zone8,194.5807288,374.3713275,0,2.339166667,9.35625,0,0
zone9,123.598825,237.8028722,0,1.4725,5.890416667,0,0
zone10,119.3114623,229.5540304,0,1.4475,5.79,0,0
zone11,203.6334255,391.7886233,0,2.440833333,9.763333333,0,0
zone12,130.8021688,251.6620318,0,1.543333333,6.1725,0,0
zone13,84.87615688,163.3008558,0,1.004166667,4.015833333,0,0
zone14,157.8172787,303.6388263,0,1.855416667,7.422083333,0,0
zone15,171.2721856,329.5259293,0,2.00375,8.015416667,0,0
zone16,186.9335356,359.6582063,0,2.176666667,8.705833333,0,0
zone17,190.5436159,366.6039637,0,2.22375,8.895416667,0,0
zone18,366.0653024,704.3058892,0,4.282083333,17.12833333,0,0
zone19,446.6036758,859.2608938,0,5.22375,20.89416667,0,0
zone20,410.6232473,790.0349183,0,4.8025,19.21041667,0,0
zone21,374.9747023,721.4474833,0,4.3925,17.56958333,0,0
zone22,52.44882742,100.9110063,0,0.590833333,2.364166667,0,0
zone23,122.5638638,235.8116175,0,1.416666667,5.667083333,0,0
zone24,253.1347242,487.0286142,0,2.973333333,11.89416667,0,0
