Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,151.1218194,290.7568314,0,1.776746438,7.107021957,0,0
zone2,290.6673265,559.2409565,0,3.41738962,13.66962811,0,0
zone3,307.6836876,591.9802608,0,3.617451789,14.46988087,0,0
zone4,320.7845141,617.1861166,0,3.771478831,15.08599217,0,0
zone5,268.3007869,516.2079636,0,3.154425148,12.61776487,0,0
zone6,247.6409,476.4585529,0,2.911525871,11.64616281,0,0
zone7,205.8654707,396.0830553,0,2.420370157,9.681529947,0,0
zone8,267.9796975,515.5901908,0,3.150650084,12.60266453,0,0
zone9,314.408235,604.918221,0,3.696512613,14.78612577,0,0
zone10,232.3582527,447.0548962,0,2.731847059,10.9274439,0,0
zone11,253.6894475,488.0958964,0,2.982638933,11.93061651,0,0
zone12,308.5216713,593.5925329,0,3.627304004,14.50928992,0,0
zone13,369.9119495,711.7067988,0,4.349072432,17.39637835,0,0
zone14,265.8811311,511.5525705,0,3.125977138,12.50397225,0,0
zone15,245.2034177,471.768862,0,2.882868276,11.53153184,0,0
zone16,216.8401438,417.1982137,0,2.549399912,10.19765159,0,0
zone17,223.4222328,429.8620854,0,2.626785846,10.50719691,0,0
zone18,181.001195,348.2444437,0,2.128039682,8.512202089,0,0
zone19,207.214889,398.6793222,0,2.436235332,9.74499097,0,0
zone20,339.4018866,653.0057505,0,3.990364167,15.96153798,0,0
