Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,0,1853485.826,0,92674.2913,0,0,0
zone2,0,830690.6033,0,41534.53017,0,0,0
zone3,0,1307288.59,0,65364.4295,0,0,0
zone4,0,1828357.822,0,91417.8911,0,0,0
zone5,0,1508629.203,0,75431.46015,0,0,0
zone6,0,1203528.827,0,60176.44135,0,0,0
zone7,0,983255.3611,0,49162.76806,0,0,0
zone8,0,1057076.491,0,52853.82455,0,0,0
zone9,0,671461.2128,0,33573.06064,0,0,0
zone10,0,576150.8869,0,28807.54435,0,0,0
zone11,0,737504.0281,0,36875.20141,0,0,0
zone12,0,473729.3304,0,23686.46652,0,0,0
zone13,0,307397.9992,0,15369.89996,0,0,0
zone14,0,571570.5976,0,28578.52988,0,0,0
zone15,0,723683.9802,0,36184.19901,0,0,0
zone16,0,789858.5789,0,39492.92895,0,0,0
zone17,0,805112.4116,0,40255.62058,0,0,0
zone18,0,1546751.997,0,77337.59985,0,0,0
zone19,0,1887054.366,0,94352.7183,0,0,0
zone20,0,1487163.996,0,74358.1998,0,0,0
zone21,0,1358054.812,0,67902.7406,0,0,0
zone22,0,158295.973,0,7914.79865,0,0,0
zone23,0,369910.3877,0,18495.51939,0,0,0
zone24,0,763986.7171,0,38199.33586,0,0,0
