Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,0,77228.57608,0,3861.428804,0,0,0
zone2,0,34612.10847,0,1730.605424,0,0,0
zone3,0,54470.35792,0,2723.517896,0,0,0
zone4,0,76181.57592,0,3809.078796,0,0,0
zone5,0,62859.55013,0,3142.977506,0,0,0
zone6,0,50147.03446,0,2507.351723,0,0,0
zone7,0,40968.97338,0,2048.448669,0,0,0
zone8,0,44044.85379,0,2202.24269,0,0,0
zone9,0,27977.55053,0,1398.877527,0,0,0
zone10,0,24006.28695,0,1200.314348,0,0,0
zone11,0,30729.3345,0,1536.466725,0,0,0
zone12,0,19738.7221,0,986.936105,0,0,0
zone13,0,12808.24997,0,640.4124983,0,0,0
zone14,0,23815.44157,0,1190.772078,0,0,0
zone15,0,30153.49918,0,1507.674959,0,0,0
zone16,0,32910.77412,0,1645.538706,0,0,0
zone17,0,33546.35048,0,1677.317524,0,0,0
zone18,0,64447.99988,0,3222.399994,0,0,0
zone19,0,78627.26525,0,3931.363263,0,0,0
zone20,0,61965.1665,0,3098.258325,0,0,0
zone21,0,56585.61717,0,2829.280858,0,0,0
zone22,0,6595.665542,0,329.7832771,0,0,0
zone23,0,15412.93282,0,770.6466413,0,0,0
zone24,0,31832.77988,0,1591.638994,0,0,0
