Time,NH4,NO3,ON,PO4,OP,CBOD,DO
2016/1/1 0:00,0.012784216,0.288855014,0.2,0.04,0.04,0,0
2016/1/1 1:00,0.01186884,0.29145461,0.2,0.04,0.04,0,0
2016/1/1 2:00,0.010973748,0.293969213,0.2,0.04,0.04,0,0
2016/1/1 3:00,0.010103063,0.296383877,0.2,0.04,0.04,0,0
2016/1/1 4:00,0.00926081,0.298684211,0.2,0.04,0.04,0,0
2016/1/1 5:00,0.008450899,0.300856465,0.2,0.04,0.04,0,0
2016/1/1 6:00,0.007677107,0.302887592,0.2,0.04,0.04,0,0
2016/1/1 7:00,0.006943059,0.304765327,0.2,0.04,0.04,0,0
2016/1/1 8:00,0.006252213,0.306478247,0.2,0.04,0.04,0,0
2016/1/1 9:00,0.00560784,0.308015834,0.2,0.04,0.04,0,0
2016/1/1 10:00,0.005013015,0.309368529,0.2,0.04,0.04,0,0
2016/1/1 11:00,0.004470593,0.310527788,0.2,0.04,0.04,0,0
2016/1/1 12:00,0.003983205,0.311486124,0.2,0.04,0.04,0,0
2016/1/1 13:00,0.003553239,0.312237152,0.2,0.04,0.04,0,0
2016/1/1 14:00,0.003182831,0.312775619,0.2,0.04,0.04,0,0
2016/1/1 15:00,0.002873853,0.31309744,0.2,0.04,0.04,0,0
2016/1/1 16:00,0.002627906,0.313199715,0.2,0.04,0.04,0,0
2016/1/1 17:00,0.00244631,0.313080754,0.2,0.04,0.04,0,0
2016/1/1 18:00,0.0023301,0.31274008,0.2,0.04,0.04,0,0
2016/1/1 19:00,0.002280016,0.31217844,0.2,0.04,0.04,0,0
2016/1/1 20:00,0.002296503,0.311397803,0.2,0.04,0.04,0,0
2016/1/1 21:00,0.002379709,0.310401349,0.2,0.04,0.04,0,0
2016/1/1 22:00,0.002529478,0.309193462,0.2,0.04,0.04,0,0
2016/1/1 23:00,0.002745358,0.307779702,0.2,0.04,0.04,0,0
2016/1/2 0:00,0.003026595,0.306166785,0.2,0.04,0.04,0,0
2016/1/2 1:00,0.003372141,0.304362551,0.2,0.04,0.04,0,0
2016/1/2 2:00,0.003780654,0.302375922,0.2,0.04,0.04,0,0
2016/1/2 3:00,0.00425051,0.300216862,0.2,0.04,0.04,0,0
2016/1/2 4:00,0.004779802,0.297896329,0.2,0.04,0.04,0,0
2016/1/2 5:00,0.005366352,0.295426217,0.2,0.04,0.04,0,0
2016/1/2 6:00,0.006007724,0.292819303,0.2,0.04,0.04,0,0
2016/1/2 7:00,0.006701226,0.290089177,0.2,0.04,0.04,0,0
2016/1/2 8:00,0.00744393,0.287250179,0.2,0.04,0.04,0,0
2016/1/2 9:00,0.008232681,0.284317327,0.2,0.04,0.04,0,0
2016/1/2 10:00,0.009064111,0.281306237,0.2,0.04,0.04,0,0
2016/1/2 11:00,0.009934654,0.27823305,0.2,0.04,0.04,0,0
2016/1/2 12:00,0.010840564,0.275114345,0.2,0.04,0.04,0,0
2016/1/2 13:00,0.011777929,0.271967061,0.2,0.04,0.04,0,0
2016/1/2 14:00,0.01274269,0.268808403,0.2,0.04,0.04,0,0
2016/1/2 15:00,0.013730659,0.265655763,0.2,0.04,0.04,0,0
2016/1/2 16:00,0.014737536,0.262526623,0.2,0.04,0.04,0,0
2016/1/2 17:00,0.015758933,0.259438469,0.2,0.04,0.04,0,0
2016/1/2 18:00,0.016790389,0.256408702,0.2,0.04,0.04,0,0
2016/1/2 19:00,0.01782739,0.253454544,0.2,0.04,0.04,0,0
2016/1/2 20:00,0.018865395,0.250592951,0.2,0.04,0.04,0,0
2016/1/2 21:00,0.019899849,0.247840526,0.2,0.04,0.04,0,0
2016/1/2 22:00,0.020926211,0.245213428,0.2,0.04,0.04,0,0
2016/1/2 23:00,0.021939968,0.242727289,0.2,0.04,0.04,0,0
2016/1/3 0:00,0.022936659,0.240397133,0.2,0.04,0.04,0,0
2016/1/3 1:00,0.023911895,0.238237292,0.2,0.04,0.04,0,0
2016/1/3 2:00,0.024861378,0.236261331,0.2,0.04,0.04,0,0
2016/1/3 3:00,0.025780921,0.234481975,0.2,0.04,0.04,0,0
2016/1/3 4:00,0.026666467,0.23291104,0.2,0.04,0.04,0,0
2016/1/3 5:00,0.027514107,0.231559364,0.2,0.04,0.04,0,0
2016/1/3 6:00,0.028320097,0.230436751,0.2,0.04,0.04,0,0
2016/1/3 7:00,0.029080879,0.229551914,0.2,0.04,0.04,0,0
2016/1/3 8:00,0.029793091,0.22891242,0.2,0.04,0.04,0,0
2016/1/3 9:00,0.030453587,0.228524651,0.2,0.04,0.04,0,0
2016/1/3 10:00,0.03105945,0.228393761,0.2,0.04,0.04,0,0
2016/1/3 11:00,0.031608004,0.228523645,0.2,0.04,0.04,0,0
2016/1/3 12:00,0.032096827,0.228916908,0.2,0.04,0.04,0,0
2016/1/3 13:00,0.032523765,0.229574845,0.2,0.04,0.04,0,0
2016/1/3 14:00,0.032886934,0.230497429,0.2,0.04,0.04,0,0
2016/1/3 15:00,0.033184737,0.2316833,0.2,0.04,0.04,0,0
2016/1/3 16:00,0.033415868,0.233129763,0.2,0.04,0.04,0,0
2016/1/3 17:00,0.033579314,0.234832795,0.2,0.04,0.04,0,0
2016/1/3 18:00,0.033674368,0.236787052,0.2,0.04,0.04,0,0
2016/1/3 19:00,0.033700623,0.238985892,0.2,0.04,0.04,0,0
2016/1/3 20:00,0.033657981,0.241421397,0.2,0.04,0.04,0,0
2016/1/3 21:00,0.033546649,0.244084402,0.2,0.04,0.04,0,0
2016/1/3 22:00,0.03336714,0.246964536,0.2,0.04,0.04,0,0
2016/1/3 23:00,0.03312027,0.250050259,0.2,0.04,0.04,0,0
2016/1/4 0:00,0.032807155,0.253328918,0.2,0.04,0.04,0,0
2016/1/4 1:00,0.032429205,0.256786795,0.2,0.04,0.04,0,0
2016/1/4 2:00,0.031988117,0.260409174,0.2,0.04,0.04,0,0
2016/1/4 3:00,0.031485868,0.264180399,0.2,0.04,0.04,0,0
2016/1/4 4:00,0.030924708,0.268083948,0.2,0.04,0.04,0,0
2016/1/4 5:00,0.030307144,0.272102507,0.2,0.04,0.04,0,0
2016/1/4 6:00,0.029635935,0.276218051,0.2,0.04,0.04,0,0
2016/1/4 7:00,0.028914076,0.280411921,0.2,0.04,0.04,0,0
2016/1/4 8:00,0.028144783,0.284664917,0.2,0.04,0.04,0,0
2016/1/4 9:00,0.027331483,0.288957382,0.2,0.04,0.04,0,0
2016/1/4 10:00,0.026477793,0.293269296,0.2,0.04,0.04,0,0
2016/1/4 11:00,0.025587506,0.29758037,0.2,0.04,0.04,0,0
2016/1/4 12:00,0.024664577,0.301870141,0.2,0.04,0.04,0,0
2016/1/4 13:00,0.023713097,0.30611807,0.2,0.04,0.04,0,0
2016/1/4 14:00,0.022737282,0.31030364,0.2,0.04,0.04,0,0
2016/1/4 15:00,0.02174145,0.314406454,0.2,0.04,0.04,0,0
2016/1/4 16:00,0.020730003,0.318406331,0.2,0.04,0.04,0,0
2016/1/4 17:00,0.019707405,0.32228341,0.2,0.04,0.04,0,0
2016/1/4 18:00,0.018678163,0.326018239,0.2,0.04,0.04,0,0
2016/1/4 19:00,0.017646807,0.329591876,0.2,0.04,0.04,0,0
2016/1/4 20:00,0.016617869,0.332985977,0.2,0.04,0.04,0,0
2016/1/4 21:00,0.015595864,0.336182894,0.2,0.04,0.04,0,0
2016/1/4 22:00,0.014585264,0.339165755,0.2,0.04,0.04,0,0
2016/1/4 23:00,0.013590486,0.341918555,0.2,0.04,0.04,0,0
2016/1/5 0:00,0.012615865,0.344426233,0.2,0.04,0.04,0,0
2016/1/5 1:00,0.01166564,0.346674751,0.2,0.04,0.04,0,0
2016/1/5 2:00,0.01074393,0.348651167,0.2,0.04,0.04,0,0
2016/1/5 3:00,0.00985472,0.350343699,0.2,0.04,0.04,0,0
2016/1/5 4:00,0.00900184,0.351741793,0.2,0.04,0.04,0,0
2016/1/5 5:00,0.008188949,0.352836174,0.2,0.04,0.04,0,0
2016/1/5 6:00,0.007419518,0.353618903,0.2,0.04,0.04,0,0
2016/1/5 7:00,0.006696816,0.354083419,0.2,0.04,0.04,0,0
2016/1/5 8:00,0.006023895,0.354224576,0.2,0.04,0.04,0,0
2016/1/5 9:00,0.005403577,0.354038682,0.2,0.04,0.04,0,0
2016/1/5 10:00,0.004838438,0.353523516,0.2,0.04,0.04,0,0
2016/1/5 11:00,0.004330803,0.352678355,0.2,0.04,0.04,0,0
2016/1/5 12:00,0.003882732,0.351503983,0.2,0.04,0.04,0,0
2016/1/5 13:00,0.003496011,0.350002694,0.2,0.04,0.04,0,0
2016/1/5 14:00,0.003172145,0.348178293,0.2,0.04,0.04,0,0
2016/1/5 15:00,0.002912353,0.346036086,0.2,0.04,0.04,0,0
2016/1/5 16:00,0.002717562,0.343582866,0.2,0.04,0.04,0,0
2016/1/5 17:00,0.002588403,0.340826884,0.2,0.04,0.04,0,0
2016/1/5 18:00,0.002525212,0.337777827,0.2,0.04,0.04,0,0
2016/1/5 19:00,0.002528022,0.334446776,0.2,0.04,0.04,0,0
2016/1/5 20:00,0.002596573,0.330846165,0.2,0.04,0.04,0,0
2016/1/5 21:00,0.002730305,0.326989729,0.2,0.04,0.04,0,0
2016/1/5 22:00,0.002928369,0.322892453,0.2,0.04,0.04,0,0
2016/1/5 23:00,0.003189624,0.318570502,0.2,0.04,0.04,0,0
2016/1/6 0:00,0.003512652,0.31404116,0.2,0.04,0.04,0,0
2016/1/6 1:00,0.003895755,0.309322757,0.2,0.04,0.04,0,0
2016/1/6 2:00,0.004336971,0.304434584,0.2,0.04,0.04,0,0
2016/1/6 3:00,0.004834084,0.299396817,0.2,0.04,0.04,0,0
2016/1/6 4:00,0.005384627,0.294230427,0.2,0.04,0.04,0,0
2016/1/6 5:00,0.005985903,0.288957086,0.2,0.04,0.04,0,0
2016/1/6 6:00,0.006634993,0.283599078,0.2,0.04,0.04,0,0
2016/1/6 7:00,0.007328772,0.278179192,0.2,0.04,0.04,0,0
2016/1/6 8:00,0.008063923,0.272720632,0.2,0.04,0.04,0,0
2016/1/6 9:00,0.008836952,0.267246905,0.2,0.04,0.04,0,0
2016/1/6 10:00,0.009644206,0.261781717,0.2,0.04,0.04,0,0
2016/1/6 11:00,0.010481892,0.256348873,0.2,0.04,0.04,0,0
2016/1/6 12:00,0.01134609,0.250972163,0.2,0.04,0.04,0,0
2016/1/6 13:00,0.012232776,0.245675258,0.2,0.04,0.04,0,0
2016/1/6 14:00,0.013137839,0.240481601,0.2,0.04,0.04,0,0
2016/1/6 15:00,0.0140571,0.235414303,0.2,0.04,0.04,0,0
2016/1/6 16:00,0.014986332,0.230496034,0.2,0.04,0.04,0,0
2016/1/6 17:00,0.01592128,0.225748923,0.2,0.04,0.04,0,0
2016/1/6 18:00,0.01685768,0.221194452,0.2,0.04,0.04,0,0
2016/1/6 19:00,0.017791279,0.216853362,0.2,0.04,0.04,0,0
2016/1/6 20:00,0.018717855,0.212745552,0.2,0.04,0.04,0,0
2016/1/6 21:00,0.019633237,0.20888999,0.2,0.04,0.04,0,0
2016/1/6 22:00,0.020533322,0.205304623,0.2,0.04,0.04,0,0
2016/1/6 23:00,0.021414096,0.202006293,0.2,0.04,0.04,0,0
2016/1/7 0:00,0.022271652,0.199010658,0.2,0.04,0.04,0,0
2016/1/7 1:00,0.023102206,0.196332116,0.2,0.04,0.04,0,0
2016/1/7 2:00,0.023902118,0.193983739,0.2,0.04,0.04,0,0
2016/1/7 3:00,0.024667904,0.191977208,0.2,0.04,0.04,0,0
2016/1/7 4:00,0.025396254,0.190322755,0.2,0.04,0.04,0,0
2016/1/7 5:00,0.026084046,0.189029116,0.2,0.04,0.04,0,0
2016/1/7 6:00,0.026728362,0.188103484,0.2,0.04,0.04,0,0
2016/1/7 7:00,0.027326499,0.187551474,0.2,0.04,0.04,0,0
2016/1/7 8:00,0.027875978,0.187377091,0.2,0.04,0.04,0,0
2016/1/7 9:00,0.028374563,0.18758271,0.2,0.04,0.04,0,0
2016/1/7 10:00,0.028820262,0.188169057,0.2,0.04,0.04,0,0
2016/1/7 11:00,0.029211339,0.189135203,0.2,0.04,0.04,0,0
2016/1/7 12:00,0.029546324,0.190478565,0.2,0.04,0.04,0,0
2016/1/7 13:00,0.029824012,0.192194909,0.2,0.04,0.04,0,0
2016/1/7 14:00,0.030043475,0.194278365,0.2,0.04,0.04,0,0
2016/1/7 15:00,0.030204061,0.196721453,0.2,0.04,0.04,0,0
2016/1/7 16:00,0.030305396,0.199515106,0.2,0.04,0.04,0,0
2016/1/7 17:00,0.030347388,0.202648708,0.2,0.04,0.04,0,0
2016/1/7 18:00,0.030330221,0.206110141,0.2,0.04,0.04,0,0
2016/1/7 19:00,0.03025436,0.209885829,0.2,0.04,0.04,0,0
2016/1/7 20:00,0.030120542,0.213960798,0.2,0.04,0.04,0,0
2016/1/7 21:00,0.029929772,0.218318739,0.2,0.04,0.04,0,0
2016/1/7 22:00,0.029683322,0.222942075,0.2,0.04,0.04,0,0
2016/1/7 23:00,0.029382718,0.227812039,0.2,0.04,0.04,0,0
2016/1/8 0:00,0.029029735,0.232908753,0.2,0.04,0.04,0,0
2016/1/8 1:00,0.028626388,0.23821131,0.2,0.04,0.04,0,0
2016/1/8 2:00,0.02817492,0.243697871,0.2,0.04,0.04,0,0
2016/1/8 3:00,0.027677791,0.249345754,0.2,0.04,0.04,0,0
2016/1/8 4:00,0.027137664,0.255131535,0.2,0.04,0.04,0,0
2016/1/8 5:00,0.026557396,0.261031148,0.2,0.04,0.04,0,0
2016/1/8 6:00,0.025940017,0.267019994,0.2,0.04,0.04,0,0
2016/1/8 7:00,0.025288723,0.273073041,0.2,0.04,0.04,0,0
2016/1/8 8:00,0.02460685,0.279164943,0.2,0.04,0.04,0,0
2016/1/8 9:00,0.023897869,0.285270143,0.2,0.04,0.04,0,0
2016/1/8 10:00,0.023165358,0.291362988,0.2,0.04,0.04,0,0
2016/1/8 11:00,0.022412993,0.297417843,0.2,0.04,0.04,0,0
2016/1/8 12:00,0.021644524,0.303409203,0.2,0.04,0.04,0,0
2016/1/8 13:00,0.02086376,0.309311803,0.2,0.04,0.04,0,0
2016/1/8 14:00,0.020074551,0.31510073,0.2,0.04,0.04,0,0
2016/1/8 15:00,0.019280764,0.320751537,0.2,0.04,0.04,0,0
2016/1/8 16:00,0.018486274,0.326240344,0.2,0.04,0.04,0,0
2016/1/8 17:00,0.017694934,0.331543948,0.2,0.04,0.04,0,0
2016/1/8 18:00,0.016910566,0.336639924,0.2,0.04,0.04,0,0
2016/1/8 19:00,0.016136937,0.341506723,0.2,0.04,0.04,0,0
2016/1/8 20:00,0.015377744,0.346123767,0.2,0.04,0.04,0,0
2016/1/8 21:00,0.014636592,0.350471542,0.2,0.04,0.04,0,0
2016/1/8 22:00,0.013916984,0.354531682,0.2,0.04,0.04,0,0
2016/1/8 23:00,0.013222298,0.358287051,0.2,0.04,0.04,0,0
2016/1/9 0:00,0.012555774,0.361721816,0.2,0.04,0.04,0,0
2016/1/9 1:00,0.0119205,0.364821521,0.2,0.04,0.04,0,0
2016/1/9 2:00,0.011319393,0.367573147,0.2,0.04,0.04,0,0
2016/1/9 3:00,0.01075519,0.369965171,0.2,0.04,0.04,0,0
2016/1/9 4:00,0.010230433,0.371987614,0.2,0.04,0.04,0,0
2016/1/9 5:00,0.009747459,0.373632087,0.2,0.04,0.04,0,0
2016/1/9 6:00,0.009308387,0.374891829,0.2,0.04,0.04,0,0
2016/1/9 7:00,0.008915111,0.375761732,0.2,0.04,0.04,0,0
2016/1/9 8:00,0.008569288,0.376238365,0.2,0.04,0.04,0,0
2016/1/9 9:00,0.008272335,0.376319988,0.2,0.04,0.04,0,0
2016/1/9 10:00,0.008025419,0.376006562,0.2,0.04,0.04,0,0
2016/1/9 11:00,0.007829457,0.375299741,0.2,0.04,0.04,0,0
2016/1/9 12:00,0.007685106,0.374202871,0.2,0.04,0.04,0,0
2016/1/9 13:00,0.007592765,0.37272097,0.2,0.04,0.04,0,0
2016/1/9 14:00,0.007552573,0.370860708,0.2,0.04,0.04,0,0
2016/1/9 15:00,0.00756441,0.36863037,0.2,0.04,0.04,0,0
2016/1/9 16:00,0.007627895,0.366039827,0.2,0.04,0.04,0,0
2016/1/9 17:00,0.007742394,0.363100484,0.2,0.04,0.04,0,0
2016/1/9 18:00,0.007907017,0.35982523,0.2,0.04,0.04,0,0
2016/1/9 19:00,0.008120632,0.356228384,0.2,0.04,0.04,0,0
2016/1/9 20:00,0.008381862,0.352325624,0.2,0.04,0.04,0,0
2016/1/9 21:00,0.008689101,0.348133921,0.2,0.04,0.04,0,0
2016/1/9 22:00,0.009040515,0.343671459,0.2,0.04,0.04,0,0
2016/1/9 23:00,0.009434059,0.338957558,0.2,0.04,0.04,0,0
2016/1/10 0:00,0.00986748,0.334012584,0.2,0.04,0.04,0,0
2016/1/10 1:00,0.010338338,0.328857859,0.2,0.04,0.04,0,0
2016/1/10 2:00,0.010844008,0.323515565,0.2,0.04,0.04,0,0
2016/1/10 3:00,0.011381703,0.318008646,0.2,0.04,0.04,0,0
2016/1/10 4:00,0.011948483,0.312360704,0.2,0.04,0.04,0,0
2016/1/10 5:00,0.01254127,0.306595897,0.2,0.04,0.04,0,0
2016/1/10 6:00,0.013156869,0.300738829,0.2,0.04,0.04,0,0
2016/1/10 7:00,0.013791975,0.294814441,0.2,0.04,0.04,0,0
2016/1/10 8:00,0.014443199,0.288847902,0.2,0.04,0.04,0,0
2016/1/10 9:00,0.015107078,0.282864496,0.2,0.04,0.04,0,0
2016/1/10 10:00,0.015780099,0.276889511,0.2,0.04,0.04,0,0
2016/1/10 11:00,0.01645871,0.270948128,0.2,0.04,0.04,0,0
2016/1/10 12:00,0.017139343,0.265065309,0.2,0.04,0.04,0,0
2016/1/10 13:00,0.017818428,0.259265688,0.2,0.04,0.04,0,0
2016/1/10 14:00,0.018492415,0.253573466,0.2,0.04,0.04,0,0
2016/1/10 15:00,0.019157787,0.248012298,0.2,0.04,0.04,0,0
2016/1/10 16:00,0.019811082,0.242605199,0.2,0.04,0.04,0,0
2016/1/10 17:00,0.020448909,0.237374436,0.2,0.04,0.04,0,0
2016/1/10 18:00,0.021067961,0.232341436,0.2,0.04,0.04,0,0
2016/1/10 19:00,0.021665038,0.227526695,0.2,0.04,0.04,0,0
2016/1/10 20:00,0.022237058,0.222949684,0.2,0.04,0.04,0,0
2016/1/10 21:00,0.022781074,0.218628774,0.2,0.04,0.04,0,0
2016/1/10 22:00,0.023294288,0.21458115,0.2,0.04,0.04,0,0
2016/1/10 23:00,0.023774067,0.210822744,0.2,0.04,0.04,0,0
2016/1/11 0:00,0.024217952,0.207368166,0.2,0.04,0.04,0,0
2016/1/11 1:00,0.024623675,0.204230646,0.2,0.04,0.04,0,0
2016/1/11 2:00,0.024989167,0.201421974,0.2,0.04,0.04,0,0
2016/1/11 3:00,0.025312568,0.19895246,0.2,0.04,0.04,0,0
2016/1/11 4:00,0.025592238,0.19683089,0.2,0.04,0.04,0,0
2016/1/11 5:00,0.025826764,0.19506449,0.2,0.04,0.04,0,0
2016/1/11 6:00,0.026014968,0.193658903,0.2,0.04,0.04,0,0
2016/1/11 7:00,0.02615591,0.192618169,0.2,0.04,0.04,0,0
2016/1/11 8:00,0.026248897,0.191944711,0.2,0.04,0.04,0,0
2016/1/11 9:00,0.026293482,0.191639334,0.2,0.04,0.04,0,0
2016/1/11 10:00,0.026289469,0.191701224,0.2,0.04,0.04,0,0
2016/1/11 11:00,0.026236912,0.19212796,0.2,0.04,0.04,0,0
2016/1/11 12:00,0.026136116,0.192915532,0.2,0.04,0.04,0,0
2016/1/11 13:00,0.025987636,0.194058363,0.2,0.04,0.04,0,0
2016/1/11 14:00,0.025792272,0.195549343,0.2,0.04,0.04,0,0
2016/1/11 15:00,0.025551066,0.197379867,0.2,0.04,0.04,0,0
2016/1/11 16:00,0.025265297,0.199539878,0.2,0.04,0.04,0,0
2016/1/11 17:00,0.024936474,0.20201792,0.2,0.04,0.04,0,0
2016/1/11 18:00,0.024566329,0.204801197,0.2,0.04,0.04,0,0
2016/1/11 19:00,0.02415681,0.207875634,0.2,0.04,0.04,0,0
2016/1/11 20:00,0.023710065,0.211225946,0.2,0.04,0.04,0,0
