Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,72000,144000,28800,10800,10800,1080000,0
zone2,72000,144000,28800,10800,10800,1080000,0
zone3,72000,144000,28800,10800,10800,1080000,0
zone4,72000,144000,28800,10800,10800,1080000,0
zone5,72000,144000,28800,10800,10800,1080000,0
zone6,72000,144000,28800,10800,10800,1080000,0
zone7,72000,144000,28800,10800,10800,1080000,0
zone8,72000,144000,28800,10800,10800,1080000,0
zone9,72000,144000,28800,10800,10800,1080000,0
zone10,72000,144000,28800,10800,10800,1080000,0
zone11,72000,144000,28800,10800,10800,1080000,0
zone12,72000,144000,28800,10800,10800,1080000,0
zone13,72000,144000,28800,10800,10800,1080000,0
zone14,72000,144000,28800,10800,10800,1080000,0
zone15,72000,144000,28800,10800,10800,1080000,0
zone16,72000,144000,28800,10800,10800,1080000,0
zone17,72000,144000,28800,10800,10800,1080000,0
zone18,72000,144000,28800,10800,10800,1080000,0
zone19,72000,144000,28800,10800,10800,1080000,0
zone20,72000,144000,28800,10800,10800,1080000,0
zone21,0,0,0,0,0,0,0
zone22,0,0,0,0,0,0,0
zone23,0,0,0,0,0,0,0
zone24,0,0,0,0,0,0,0
