Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,3000,6000,1200,450,450,45000,0
zone2,3000,6000,1200,450,450,45000,0
zone3,3000,6000,1200,450,450,45000,0
zone4,3000,6000,1200,450,450,45000,0
zone5,3000,6000,1200,450,450,45000,0
zone6,3000,6000,1200,450,450,45000,0
zone7,3000,6000,1200,450,450,45000,0
zone8,3000,6000,1200,450,450,45000,0
zone9,3000,6000,1200,450,450,45000,0
zone10,3000,6000,1200,450,450,45000,0
zone11,3000,6000,1200,450,450,45000,0
zone12,3000,6000,1200,450,450,45000,0
zone13,3000,6000,1200,450,450,45000,0
zone14,3000,6000,1200,450,450,45000,0
zone15,3000,6000,1200,450,450,45000,0
zone16,3000,6000,1200,450,450,45000,0
zone17,3000,6000,1200,450,450,45000,0
zone18,3000,6000,1200,450,450,45000,0
zone19,3000,6000,1200,450,450,45000,0
zone20,3000,6000,1200,450,450,45000,0
zone21,0,0,0,0,0,0,0
zone22,0,0,0,0,0,0,0
zone23,0,0,0,0,0,0,0
zone24,0,0,0,0,0,0,0
