Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
zone1,0,0,0,0,0,0,0
zone2,0,0,0,0,0,0,0
zone3,0,0,0,0,0,0,0
zone4,0,0,0,0,0,0,0
zone5,706688.981,207988.7302,565351.1847,333006.5016,37000.7224,444008.6688,0
zone6,706688.981,207988.7302,565351.1847,333006.5016,37000.7224,444008.6688,0
zone7,0,0,0,0,0,0,0
zone8,0,0,0,0,0,0,0
zone9,0,0,0,0,0,0,0
zone10,0,0,0,0,0,0,0
zone11,0,0,0,0,0,0,0
zone12,0,0,0,0,0,0,0
zone13,0,0,0,0,0,0,0
zone14,0,0,0,0,0,0,0
zone15,0,0,0,0,0,0,0
zone16,357013.8124,105074.2993,285611.0499,168232.3114,18692.47904,224309.7485,0
zone17,357013.8124,105074.2993,285611.0499,168232.3114,18692.47904,224309.7485,0
zone18,357013.8124,105074.2993,285611.0499,168232.3114,18692.47904,224309.7485,0
zone19,357013.8124,105074.2993,285611.0499,168232.3114,18692.47904,224309.7485,0
zone20,523993.2009,154218.7346,419194.5607,246916.4617,27435.16241,329221.9489,0
zone21,0,0,0,0,0,0,0
zone22,0,0,0,0,0,0,0
zone23,0,0,0,0,0,0,0
zone24,0,0,0,0,0,0,0
