date,huotongxi,jiaoxi
2016/1/1,381099.3051,1072675.899
2016/2/1,602136.902,985229.4935
2016/3/1,392532.2843,740379.56
2016/4/1,537350.02,1643992.41
2016/5/1,682167.756,1708119.773
2016/6/1,853662.4435,1952969.706
2016/7/1,548782.9995,752039.081
2016/8/1,255336.5345,528759.2605
2016/9/1,659301.798,3188878.894
2016/10/1,552593.9925,1154292.543
2016/11/1,227897.3845,606295.073
2016/12/1,229802.881,431985.2395
2017/1/1,260290.8254,274581.7109
2017/2/1,286205.5782,204041.6111
2017/3/1,203888.1283,687911.7175
2017/4/1,403965.2635,676252.197
2017/5/1,298400.7559,412747.0305
2017/6/1,636435.8395,2285266.044
2017/7/1,625002.8605,1200930.626
2017/8/1,419209.2357,1416631.757
2017/9/1,237043.7678,506023.1955
2017/10/1,67835.6763,225028.7483
2017/11/1,19893.38373,151573.7683
2017/12/1,98704.72005,159735.4327
2018/1/1,90320.5353,314224.0811
2018/2/1,108994.4013,177224.7137
2018/3/1,89177.2374,266420.0465
2018/4/1,129192.6645,454721.3047
2018/5/1,177211.1769,388262.0371
2018/6/1,430642.2148,1410801.997
2018/7/1,293827.5643,915272.3695
2018/8/1,284300.0816,1008548.535
2018/9/1,453508.1731,1667311.451
2018/10/1,227897.3845,510104.0275
2018/11/1,161586.1054,550329.374
2018/12/1,221799.7956,419742.7428
2019/1/1,148247.6297,355615.3794
2019/2/1,200077.1352,580061.1515
2019/3/1,537350.02,1002718.775
2019/4/1,344894.8712,1072675.899
2019/5/1,268675.0101,752039.081
2019/6/1,724088.6795,2576754.06
2019/7/1,903205.353,2267776.763
2019/8/1,268675.0101,705400.9985
2019/9/1,118902.9832,362028.1157
2019/10/1,91844.93255,152156.7443
2019/11/1,66692.3784,94442.11715
2019/12/1,33155.63955,83948.54855
2020/1/1,19016.85533,70540.09985
2020/2/1,35785.22475,253011.5978
2020/3/1,173019.0845,699571.238
2020/4/1,283537.883,722890.2795
2020/5/1,261053.024,415661.9106
2020/6/1,552593.9925,915272.3695
2020/7/1,109756.5999,390010.9652
2020/8/1,98323.6207,230275.5325
2020/9/1,92988.23045,295568.8481
2020/10/1,81936.3506,156820.5525
2020/11/1,9984.801795,72872.00395
2020/12/1,47256.31384,103769.7337
