date,Zone,NH4,NO3,ON,PO4,OP,CBOD,DO
2016-01-01,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-24,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31,zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-24,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31,zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-24,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31,zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,zone12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
