date,1-7_a,10-15_a,10-4_a,10-5_a,10-6_a,11-12_a,11-13_a,11-7_a,12-14_a,13-12_a,13-14_a,14-15_a,14-9_a,15-10-1_a,15-10-2_a,15-16_a,15-17_a,15-6_a,16-15_a,17-16_a,17-18_a,19-18_a,2-3_a,20-15_a,20-17-1_a,20-17-2_a,20-19_a,21-11_a,21-13_a,21-14_a,21-15_a,21-20_a,23-21_a,23-22_a,24-23_a,5-6_a,6-5-1_a,6-5-2_a,7-2_a,7-8_a,8-2_a,8-9_a,9-10_a,9-3_a,sea_a
2015/12/1,46031300,-185113000,-90296000,11093200,-35362500,259374000,31773700,-80023400,-56192000,-347248000,-13599500,-759855000,-83749500,-124992000,-266364000,-94778900,-271060000,-70817200,-5258640,50114500,-137662000,63136900,683124,85679200,-58797300,193102000,-24418200,157083000,-415208000,-816103000,-8207560,93806500,-1082520000,-9153890,-1126340000,-22738100,-84106200,-5813800,-1059090,8875760,-10794700,68630300,60225400,-42576100,-1189530000
2015/12/2,-25821000,-89736000,18813800,15778300,2971100,322716000,78480300,76019610,100265600,-204511000,175584500,-529665000,154505000,-24218000,-118901000,-14450100,-17066000,37961400,47767040,82974500,-23858000,65607100,11642076,158198800,20260000,84384000,114027700,508944000,-94418000,-626947000,303177560,432845500,579160000,4592580,600337000,30588500,32828000,16534000,2772420,24065240,16543840,-22095000,109292600,4185000,637211000
2015/12/3,-35166200,-65295000,19231000,11565100,447500,322922000,392998000,90528990,117362400,-187762000,-972000,-462320000,39482500,11728000,-25087000,-13812000,-1637000,47309300,61731600,100557000,11178000,38462000,10374500,90731000,18705600,122854000,99131500,834673000,-569854000,-516260000,418040000,390722000,609469000,6111230,632210000,30172400,36540600,15509800,4948550,25817500,17760960,-19184800,-3670000,6481200,665235000
2015/12/4,-34790000,-37519000,14920400,12092900,-6010800,275808000,-300870000,74495800,114794000,-145344000,-80552200,-357530000,-63406800,46702900,66929000,-26223000,10335000,47837400,55388000,103995000,40195000,2726000,8740600,100769000,27204620,129386000,54593000,73890000,85373000,-436360000,405050000,361996000,533122000,5953900,554483000,27373100,28615900,16511000,5395920,12002100,18532300,-30180180,-115278900,6245000,581573000
2015/12/5,-23232500,-34834000,808500,12953800,-11891000,261100000,-38715000,37567000,43239000,-208555000,6110800,-268110000,-139027600,46969100,112808000,-3029000,17334000,31623600,52878000,69090000,47825300,-20098000,7162000,101721000,29998280,83414000,14317000,274560000,-157553000,-444720000,366090000,260220000,323518000,3486380,337834000,18769500,9738600,14212600,3252300,-2917100,14437900,-32001920,-183829100,3028500,354481000
2015/12/6,-4807400,-35697000,-18845700,12156000,-14532000,203340000,-266384000,2054000,81995000,-118560000,-214823600,-407280000,-150988600,20148700,76207000,-38557000,-40763000,10329500,33739000,76600000,47083500,-39266000,445800,116393000,34240000,134222000,-30609000,-56080000,-65510000,-421990000,323660000,264530000,51481000,1308600,58896000,10480600,-8251000,11347600,304000,-6230400,1978900,-10638600,-151095000,-12929600,65270000
2015/12/7,13064200,-48630000,-42460100,7457900,-19138100,269930000,76305600,-31482000,73529000,-200240000,-91591000,-527090000,-136932000,-9959400,7409000,-7805000,-71965000,-5394200,28443000,30931000,28196900,-40186700,-2463200,120107000,25549500,99204000,-54559000,308570000,-369820000,-650760000,334050000,177950000,-210734000,-881000,-211171000,2803800,-22233160,7840400,-3111700,-8589800,-6225600,5125600,-104181000,-23716500,-214100000
2015/12/8,31422400,-71751000,-65765900,5333000,-22699200,380410000,58478900,-57601000,69768000,-318140000,-176994000,-573020000,-99450000,-50898900,-65778000,-23050000,-119814000,-24984300,21894000,34142000,1167200,-32188300,-655200,112447000,12296300,131034000,-72528000,369370000,-558130000,-574210000,215600000,158620000,-409504000,-2301910,-415611000,-5780300,-39878240,3793600,-5296030,-7898500,-8869800,14972200,-46309000,-30037800,-426010000
2015/12/9,33896812,-92474000,-76773000,3530300,-29907000,329340000,209969500,-53508400,677000,-342130000,55662000,-728540000,-34601000,-92193400,-158684000,-32919000,-70323000,-30954600,21800000,34791000,-24855200,-15765700,2074700,122654000,-1391000,61090000,-66974100,465190000,-504870000,-835430000,273850000,70990000,-567695000,-5693290,-583640000,-9827700,-48304900,2397400,-3637170,3574800,-7072300,30985840,42576000,-33409700,-605119000
2015/12/10,29784688,-123610000,-75244000,6599200,-31952000,350480000,423753000,-56187290,-25521000,-393630000,-7438000,-875740000,6478000,-119826000,-217202000,-62393000,-9451000,-39294770,20740000,58397000,-41618200,-3516100,4273200,119350000,-10817700,10250000,-57612600,689900000,-836030000,-857830000,387530000,4520000,-662262000,-6802240,-684821000,-10952000,-56398600,136500,-1988450,257100,-4648600,34490460,96131000,-37058000,-716140000
2015/12/11,21043500,-110250000,-64881000,17901300,-31700000,217130000,283768000,-58462310,-112126000,-348530000,-66514000,-1047600000,88942000,-142826000,-237255000,-32340000,-6247000,-41816330,26886000,36502000,-53254500,11183800,8375600,95730000,-15869800,-25490000,-36015600,409990000,-712440000,-806690000,546180000,-42840000,-664535000,-5323070,-690197000,-6173700,-60503000,1218200,-1047082,-11822500,2122000,21777700,171091000,-38317000,-727611000
2015/12/12,13433800,-118171000,-50314000,27344000,-27419000,24720000,211782000,-60133000,-203128000,-243540000,-54499000,-955130000,164604000,-146357000,-251132000,43471000,106290000,-36326100,43460000,-17292000,-58949000,27285200,11898200,66180000,-14019100,-193231000,-9440800,146000000,-523350000,-557000000,653550000,-204260000,-537890000,-3171190,-560630000,1738700,-54426000,5173300,-1174955,-25928600,9824700,-7490100,211108900,-34945000,-600600000
2015/12/13,6539300,-138800000,-31383000,32877000,-21250000,10870000,256590000,-37123000,-226228400,-246200000,-83910000,-1011160000,209669000,-136452000,-265570000,34049000,257253000,-28559700,47543000,3139000,-63307000,47283800,15246200,41200000,-9859200,-321848000,27779600,210150000,-595730000,-507650000,905060000,-296700000,-320690000,-2014800,-338570000,9836700,-43530000,9760000,-245651,-18398780,14920700,-18513400,232313100,-29537000,-366280000
2015/12/14,843000,-128640000,-16016000,31196000,-17335000,58830000,292350000,-12858000,-207862600,-268780000,-62843000,-876380000,253454000,-125426000,-255610000,54354000,294279200,-13587000,47184000,-9329000,-58382000,56979000,18418500,33660000,-588500,-363531000,55610100,332860000,-626220000,-355740000,874720000,-280940000,-63640000,-513000,-70830000,16272000,-27667000,13777400,148732,-9788720,18765100,-28905440,248080000,-22016000,-80760000
2015/12/15,-5352300,-124730000,-2928000,26410000,-12747000,40320000,146190000,4198000,-211614000,-247200000,-71275000,-677080000,280792000,-108041000,-245750000,84188000,259596800,3689000,43232000,-35656000,-52555000,61816000,19044900,12970000,7431600,-347443000,73636300,201510000,-460200000,-105270000,748650000,-236180000,167260000,812800,171330000,22117500,-8811000,17015000,-103456,-8781800,20615000,-42617360,246452000,-15782000,181590000
2015/12/16,-12420300,-96180000,11853000,27346000,-5127000,83830000,48790000,25180000,-150508000,-222460000,8207000,-721500000,317400000,-95129000,-209880000,68606700,284342000,18350700,45341000,-10073000,-40480000,64550000,19658000,13600000,17198600,-332772000,94228100,182450000,-252970000,-242050000,846740000,-166118000,412780000,2346600,427140000,30003000,9568000,20896000,175213,-3582800,23092600,-51699200,258003000,-8143000,456810000
2015/12/17,-28188700,-64100000,26670000,28638000,4286000,113010000,200160000,55595800,-116385000,-208800000,-72490000,-506800000,354499000,-75810000,-171340000,73854110,227806000,33680900,38200000,-12620000,-16162000,62797000,20189000,6570000,37345100,-260956000,116798000,406510000,-466090000,66030000,646560000,-34456000,683980000,4619860,707230000,37591000,28553000,21926000,1222230,-1308400,27360000,-65282100,265270000,540000,749040000
2015/12/18,-49914000,-71470000,36232000,26604000,9006000,193810000,260600000,93072000,-56251000,-224380000,-90800000,-421400000,327010000,-49100000,-151940000,70407890,226590000,46049600,34402000,-1839000,13740000,54218000,19540000,6160000,55115000,-230459000,136905000,588850000,-558510000,85070000,629230000,48804000,868178000,8225220,899801000,41099000,40537000,19838000,4647579,2912100,32444000,-68615000,225780000,7510000,948141000
2015/12/19,-56919500,-53690000,39004000,32708000,9512000,229710000,274800000,104295200,-12166000,-216440000,-111237000,-419800000,328890000,-42910000,-129840000,64783300,245820000,45612800,37207000,8760000,30426000,42156000,19947000,11780000,57661000,-226470000,130533000,647700000,-586110000,64030000,641610000,55970000,894167000,9643920,927576000,43673000,37505000,22213000,7464440,4458900,37471000,-70906000,224110000,9245000,972863000
2015/12/20,-45338100,-69340000,27192000,29331000,3659000,200450000,323500000,81035000,-14656000,-196690000,-104256000,-389400000,274750000,-46870000,-132190000,70606000,187140000,32444100,39919000,-4539000,21173000,31505000,21611000,28350000,41592000,-185550000,95290000,634730000,-613740000,26130000,525660000,39120000,660825000,6877800,687613000,34187000,21369000,20752000,6764000,1548600,35434000,-62552000,187000000,6285000,718486000
2015/12/21,810000,-86040000,-25842000,19656000,-9805000,181780000,297650000,-18853000,-60790000,-239600000,-166610000,-495400000,162450000,-82350000,-179880000,38933000,84670000,-7499900,20701000,-13606000,-9981000,16890000,3150000,45690000,18773000,-123130000,23923000,465340000,-701610000,-102100000,371700000,-23700000,15090000,1514400,26350000,11178000,-17468000,9888000,-1440000,-17930900,4321000,-22970000,162030000,-24726000,35240000
2015/12/22,37497900,-118450000,-87946000,15646000,-24293000,139630000,202440000,-96890500,-116792000,-270470000,-176680000,-685900000,74000000,-132910000,-239210000,-1144000,4890000,-50278700,6001000,-11223000,-57469000,15007000,-6399000,75460000,-10676000,-84330000,-37604000,222780000,-657010000,-334420000,286200000,-101034000,-619423000,-3359800,-627779000,-8980000,-59025000,-228000,-8548940,-29491500,-16073000,10109000,143450000,-45543000,-643079000
